Genes,Interpretation,snpeff,GO_Term
SUMO2,Metabolic process,0,"GO:0008152, GO:0006807, GO:0006807, GO:0071704, GO:0071704, GO:0044238, GO:0044238"
STK4,Nitrogen metaboism,1,"GO:0008152, GO:0006807, GO:0006807, GO:0071704, GO:0071704, GO:0044238, GO:0044238, GO:0044237, GO:0044237"
PBRM1,Nitrogen metaboism,1,"GO:0008152, GO:0006807, GO:0006807, GO:0071704, GO:0071704, GO:0044238, GO:0044238, GO:0044237, GO:0044237, GO:0009059, GO:0009059, GO:0046483, GO:0046483, GO:0006725, GO:0006725, GO:0006139, GO:0006139, GO:1901360, GO:1901360, GO:0034641, GO:0034641, GO:1901576, GO:1901576, GO:0009058, GO:0009058, GO:0044249, GO:0044249"
GGT7,Nitrogen metaboism,1,"GO:0008152, GO:0006807, GO:0071704, GO:0044237"
CTSC,Nitrogen metaboism,1,"GO:0008152, GO:0006807, GO:0071704, GO:0044238"
DCUN1D1,Nitrogen metaboism,0,"GO:0008152, GO:0006807, GO:0071704, GO:0044238"
OTUD7A,Nitrogen metaboism,1,"GO:0008152, GO:0006807, GO:0071704, GO:0044238"
TRIP12,Nitrogen metaboism,1,"GO:0008152, GO:0006807, GO:0071704, GO:0044238"
UBA6,Nitrogen metaboism,0,"GO:0008152, GO:0006807, GO:0071704, GO:0044238"
UBE2I,Nitrogen metaboism,0,"GO:0008152, GO:0006807, GO:0071704, GO:0044238"
CDK14,Nitrogen metaboism,0,"GO:0008152, GO:0006807, GO:0071704, GO:0044238, GO:0044237"
HEXA,Nitrogen metaboism,1,"GO:0008152, GO:0006807, GO:0071704, GO:0044238, GO:0044237"
PDPK1,Nitrogen metaboism,1,"GO:0008152, GO:0006807, GO:0071704, GO:0044238, GO:0044237"
RNF43,Nitrogen metaboism,1,"GO:0008152, GO:0006807, GO:0071704, GO:0044238, GO:0044237"
EIF3F,Nitrogen metaboism,1,"GO:0008152, GO:0006807, GO:0071704, GO:0044238, GO:0044237, GO:0009059, GO:0034641, GO:1901576, GO:0009058, GO:0044249"
CACTIN,Nitrogen metaboism,1,"GO:0008152, GO:0006807, GO:0071704, GO:0044238, GO:0044237, GO:0009059, GO:0046483, GO:0006725, GO:0006139, GO:1901360, GO:0034641, GO:1901576, GO:0009058, GO:0044249"
CDKAL1,Nitrogen metaboism,1,"GO:0008152, GO:0006807, GO:0071704, GO:0044238, GO:0044237, GO:0009059, GO:0046483, GO:0006725, GO:0006139, GO:1901360, GO:0034641, GO:1901576, GO:0009058, GO:0044249"
DROSHA,Nitrogen metaboism,1,"GO:0008152, GO:0006807, GO:0071704, GO:0044238, GO:0044237, GO:0009059, GO:0046483, GO:0006725, GO:0006139, GO:1901360, GO:0034641, GO:1901576, GO:0009058, GO:0044249"
RNGTT,Nitrogen metaboism,1,"GO:0008152, GO:0006807, GO:0071704, GO:0044238, GO:0044237, GO:0009059, GO:0046483, GO:0006725, GO:0006139, GO:1901360, GO:0034641, GO:1901576, GO:0009058, GO:0044249"
CSGALNACT1,Nitrogen metaboism,1,"GO:0008152, GO:0006807, GO:0071704, GO:0044238, GO:0044237, GO:0009059, GO:1901576, GO:0009058, GO:0044249"
STT3A,Nitrogen metaboism,1,"GO:0008152, GO:0006807, GO:0071704, GO:0044238, GO:0044237, GO:0009059, GO:1901576, GO:0009058, GO:0044249"
TASP1,Nitrogen metaboism,1,"GO:0008152, GO:0006807, GO:0071704, GO:0044238, GO:0044237, GO:0009059, GO:1901576, GO:0009058, GO:0044249"
EI24,Metabolic process,1,"GO:0008152, GO:0044237"
NCF4,Metabolic process,1,"GO:0008152, GO:0044237"
RAB19,Metabolic process,1,"GO:0008152, GO:0044237"
NUP85,Metabolic process,1,"GO:0008152, GO:0071704, GO:0044237, GO:0009059, GO:1901576, GO:0009058, GO:0044249"
MTMR4,Metabolic process,1,"GO:0008152, GO:0071704, GO:0044238, GO:0044237"
PLCE1,Metabolic process,1,"GO:0008152, GO:0071704, GO:0044238, GO:0044237"
G6PC2,Metabolic process,1,"GO:0008152, GO:0071704, GO:0044238, GO:0044237, GO:1901576, GO:0009058"
GAP43,"Tissue regeneration, Nervous system",0,"GO:0031099, GO:0042246, GO:0007399, GO:0007399"
DTNBP1,"Nervous system, secretory granule organization",1,"GO:0033363, GO:0007399, GO:0007399"
PPP6R2,Phosphatase,1,"GO:0043666, GO:0010921, GO:0035303"
PPP6R3,Phosphatase,1,"GO:0043666, GO:0010921, GO:0035303"
SNX7,Metabolic process,1,GO:0044237
GIGYF2,insulin-like growth factor receptor signaling pathway,0,GO:0048009
IGF1,insulin-like growth factor receptor signaling pathway,0,GO:0048009
NDUFA9,Metabolic process,1,"GO:0071704, GO:0044237, GO:1901576, GO:0009058, GO:0044249"
PIP5K1C,Metabolic process,1,"GO:0071704, GO:0044238, GO:0044237, GO:1901576, GO:0009058, GO:0044249"
