PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12431)	nonoverlap.noca_only.csv (440)	nonoverlap.noca_only.csv (expected)	nonoverlap.noca_only.csv (over/under)	nonoverlap.noca_only.csv (fold Enrichment)	P-value
endoderm formation (GO:0001706)	7	2	0.25	+	8.07	2.33E-02
positive regulation of cell-cell adhesion (GO:0022409)	11	3	0.39	+	7.71	5.88E-03
mismatch repair (GO:0006298)	11	3	0.39	+	7.71	5.88E-03
B cell differentiation (GO:0030183)	4	1	0.14	+	7.06	1.34E-01
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	4	1	0.14	+	7.06	1.34E-01
citrate transport (GO:0015746)	4	1	0.14	+	7.06	1.34E-01
tissue homeostasis (GO:0001894)	4	1	0.14	+	7.06	1.34E-01
actin filament depolymerization (GO:0030042)	8	2	0.28	+	7.06	3.04E-02
toll-like receptor signaling pathway (GO:0002224)	4	1	0.14	+	7.06	1.34E-01
anatomical structure homeostasis (GO:0060249)	4	1	0.14	+	7.06	1.34E-01
tricarboxylic acid transport (GO:0006842)	4	1	0.14	+	7.06	1.34E-01
skeletal muscle tissue development (GO:0007519)	13	3	0.46	+	6.52	9.67E-03
transcription elongation by RNA polymerase II (GO:0006368)	13	3	0.46	+	6.52	9.67E-03
smoothened signaling pathway (GO:0007224)	18	4	0.64	+	6.28	3.19E-03
regulation of neuron differentiation (GO:0045664)	9	2	0.32	+	6.28	3.82E-02
positive regulation of synapse assembly (GO:0051965)	9	2	0.32	+	6.28	3.82E-02
adherens junction organization (GO:0034332)	23	5	0.81	+	6.14	1.08E-03
wound healing (GO:0042060)	19	4	0.67	+	5.95	3.93E-03
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	5	1	0.18	+	5.65	1.65E-01
nucleoside triphosphate catabolic process (GO:0009143)	5	1	0.18	+	5.65	1.65E-01
regulation of stress fiber assembly (GO:0051492)	5	1	0.18	+	5.65	1.65E-01
positive regulation of adenylate cyclase activity (GO:0045762)	5	1	0.18	+	5.65	1.65E-01
intracellular pH reduction (GO:0051452)	10	2	0.35	+	5.65	4.66E-02
neuromuscular synaptic transmission (GO:0007274)	10	2	0.35	+	5.65	4.66E-02
regulation of lymphocyte mediated immunity (GO:0002706)	5	1	0.18	+	5.65	1.65E-01
regulation of leukocyte mediated immunity (GO:0002703)	5	1	0.18	+	5.65	1.65E-01
tRNA wobble uridine modification (GO:0002098)	5	1	0.18	+	5.65	1.65E-01
ubiquinone biosynthetic process (GO:0006744)	5	1	0.18	+	5.65	1.65E-01
glycerol-3-phosphate metabolic process (GO:0006072)	5	1	0.18	+	5.65	1.65E-01
vacuolar acidification (GO:0007035)	10	2	0.35	+	5.65	4.66E-02
skeletal muscle organ development (GO:0060538)	15	3	0.53	+	5.65	1.46E-02
myelination (GO:0042552)	10	2	0.35	+	5.65	4.66E-02
melanosome organization (GO:0032438)	5	1	0.18	+	5.65	1.65E-01
hormone metabolic process (GO:0042445)	16	3	0.57	+	5.3	1.75E-02
DNA-templated transcription elongation (GO:0006354)	16	3	0.57	+	5.3	1.75E-02
negative regulation of defense response (GO:0031348)	11	2	0.39	+	5.14	5.57E-02
cell activation (GO:0001775)	28	5	0.99	+	5.05	2.72E-03
positive regulation of cell adhesion (GO:0045785)	24	4	0.85	+	4.71	9.37E-03
regulation of filopodium assembly (GO:0051489)	6	1	0.21	+	4.71	1.94E-01
synaptic membrane adhesion (GO:0099560)	6	1	0.21	+	4.71	1.94E-01
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	6	1	0.21	+	4.71	1.94E-01
regulation of immune effector process (GO:0002697)	6	1	0.21	+	4.71	1.94E-01
regulation of telomere maintenance (GO:0032204)	6	1	0.21	+	4.71	1.94E-01
negative regulation of TORC1 signaling (GO:1904262)	6	1	0.21	+	4.71	1.94E-01
cell-cell junction assembly (GO:0007043)	37	6	1.31	+	4.58	1.74E-03
response to wounding (GO:0009611)	25	4	0.88	+	4.52	1.09E-02
muscle organ development (GO:0007517)	19	3	0.67	+	4.46	2.80E-02
regulation of cell-cell adhesion (GO:0022407)	19	3	0.67	+	4.46	2.80E-02
clathrin-dependent endocytosis (GO:0072583)	13	2	0.46	+	4.35	7.54E-02
gastrulation (GO:0007369)	13	2	0.46	+	4.35	7.54E-02
formation of primary germ layer (GO:0001704)	13	2	0.46	+	4.35	7.54E-02
positive regulation of canonical Wnt signaling pathway (GO:0090263)	20	3	0.71	+	4.24	3.21E-02
negative regulation of multicellular organismal process (GO:0051241)	34	5	1.2	+	4.15	6.47E-03
regulation of adenylate cyclase activity (GO:0045761)	7	1	0.25	+	4.04	2.23E-01
calcineurin-mediated signaling (GO:0097720)	7	1	0.25	+	4.04	2.23E-01
B cell activation (GO:0042113)	7	1	0.25	+	4.04	2.23E-01
positive regulation of TOR signaling (GO:0032008)	14	2	0.5	+	4.04	8.59E-02
positive regulation of epithelial cell proliferation (GO:0050679)	7	1	0.25	+	4.04	2.23E-01
detection of stimulus involved in sensory perception (GO:0050906)	7	1	0.25	+	4.04	2.23E-01
signal transduction by p53 class mediator (GO:0072331)	7	1	0.25	+	4.04	2.23E-01
phosphatidylcholine metabolic process (GO:0046470)	7	1	0.25	+	4.04	2.23E-01
chaperone cofactor-dependent protein refolding (GO:0051085)	7	1	0.25	+	4.04	2.23E-01
positive regulation of secretion (GO:0051047)	7	1	0.25	+	4.04	2.23E-01
retinoid metabolic process (GO:0001523)	7	1	0.25	+	4.04	2.23E-01
diterpenoid metabolic process (GO:0016101)	7	1	0.25	+	4.04	2.23E-01
positive regulation of secretion by cell (GO:1903532)	7	1	0.25	+	4.04	2.23E-01
mitotic recombination (GO:0006312)	7	1	0.25	+	4.04	2.23E-01
mitotic chromosome condensation (GO:0007076)	7	1	0.25	+	4.04	2.23E-01
cell-cell junction organization (GO:0045216)	43	6	1.52	+	3.94	3.82E-03
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	15	2	0.53	+	3.77	9.69E-02
muscle tissue development (GO:0060537)	30	4	1.06	+	3.77	2.05E-02
regulation of cell junction assembly (GO:1901888)	15	2	0.53	+	3.77	9.69E-02
positive regulation of Wnt signaling pathway (GO:0030177)	23	3	0.81	+	3.69	4.61E-02
transcription initiation at RNA polymerase II promoter (GO:0006367)	23	3	0.81	+	3.69	4.61E-02
nucleoside triphosphate biosynthetic process (GO:0009142)	8	1	0.28	+	3.53	2.51E-01
negative regulation of angiogenesis (GO:0016525)	8	1	0.28	+	3.53	2.51E-01
glycerophospholipid catabolic process (GO:0046475)	8	1	0.28	+	3.53	2.51E-01
protein mannosylation (GO:0035268)	8	1	0.28	+	3.53	2.51E-01
phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0043491)	8	1	0.28	+	3.53	2.51E-01
maturation of 5.8S rRNA (GO:0000460)	16	2	0.57	+	3.53	1.08E-01
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	16	2	0.57	+	3.53	1.08E-01
centrosome localization (GO:0051642)	8	1	0.28	+	3.53	2.51E-01
transcription by RNA polymerase II (GO:0006366)	56	7	1.98	+	3.53	3.44E-03
cholesterol homeostasis (GO:0042632)	8	1	0.28	+	3.53	2.51E-01
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	8	1	0.28	+	3.53	2.51E-01
cotranslational protein targeting to membrane (GO:0006613)	8	1	0.28	+	3.53	2.51E-01
protein depolymerization (GO:0051261)	24	3	0.85	+	3.53	5.14E-02
Golgi to plasma membrane protein transport (GO:0043001)	8	1	0.28	+	3.53	2.51E-01
mannosylation (GO:0097502)	8	1	0.28	+	3.53	2.51E-01
chromosome condensation (GO:0030261)	8	1	0.28	+	3.53	2.51E-01
negative regulation of inflammatory response (GO:0050728)	8	1	0.28	+	3.53	2.51E-01
regulation of response to external stimulus (GO:0032101)	49	6	1.73	+	3.46	7.33E-03
regulation of heart contraction (GO:0008016)	17	2	0.6	+	3.32	1.20E-01
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	17	2	0.6	+	3.32	1.20E-01
synaptic vesicle endocytosis (GO:0048488)	26	3	0.92	+	3.26	6.27E-02
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	70	8	2.48	+	3.23	3.19E-03
mitochondrial fission (GO:0000266)	9	1	0.32	+	3.14	2.77E-01
synaptic vesicle recycling (GO:0036465)	27	3	0.96	+	3.14	6.88E-02
regulation of intracellular pH (GO:0051453)	27	3	0.96	+	3.14	6.88E-02
positive regulation of cyclase activity (GO:0031281)	9	1	0.32	+	3.14	2.77E-01
'de novo' protein folding (GO:0006458)	9	1	0.32	+	3.14	2.77E-01
cellular response to amino acid starvation (GO:0034198)	9	1	0.32	+	3.14	2.77E-01
aromatic amino acid family catabolic process (GO:0009074)	9	1	0.32	+	3.14	2.77E-01
positive regulation of lyase activity (GO:0051349)	9	1	0.32	+	3.14	2.77E-01
negative regulation of autophagy (GO:0010507)	9	1	0.32	+	3.14	2.77E-01
phagolysosome assembly (GO:0001845)	9	1	0.32	+	3.14	2.77E-01
regulation of hormone levels (GO:0010817)	27	3	0.96	+	3.14	6.88E-02
reticulophagy (GO:0061709)	9	1	0.32	+	3.14	2.77E-01
ribosomal large subunit assembly (GO:0000027)	9	1	0.32	+	3.14	2.77E-01
regulation of inflammatory response (GO:0050727)	9	1	0.32	+	3.14	2.77E-01
regulation of TOR signaling (GO:0032006)	28	3	0.99	+	3.03	7.51E-02
"synaptic transmission, glutamatergic (GO:0035249)"	19	2	0.67	+	2.97	1.44E-01
regulation of synapse organization (GO:0050807)	19	2	0.67	+	2.97	1.44E-01
regulation of cellular pH (GO:0030641)	29	3	1.03	+	2.92	8.17E-02
regulation of pH (GO:0006885)	29	3	1.03	+	2.92	8.17E-02
cell junction assembly (GO:0034329)	59	6	2.09	+	2.87	1.76E-02
positive regulation of macroautophagy (GO:0016239)	10	1	0.35	+	2.83	3.03E-01
apoptotic mitochondrial changes (GO:0008637)	10	1	0.35	+	2.83	3.03E-01
tRNA methylation (GO:0030488)	20	2	0.71	+	2.83	1.57E-01
lymphocyte differentiation (GO:0030098)	10	1	0.35	+	2.83	3.03E-01
regulation of actin filament bundle assembly (GO:0032231)	10	1	0.35	+	2.83	3.03E-01
negative regulation of cell migration (GO:0030336)	10	1	0.35	+	2.83	3.03E-01
regulation of synapse structure or activity (GO:0050803)	20	2	0.71	+	2.83	1.57E-01
cellular response to light stimulus (GO:0071482)	10	1	0.35	+	2.83	3.03E-01
protein N-linked glycosylation via asparagine (GO:0018279)	10	1	0.35	+	2.83	3.03E-01
actin polymerization or depolymerization (GO:0008154)	30	3	1.06	+	2.83	8.84E-02
mitochondrial calcium ion homeostasis (GO:0051560)	10	1	0.35	+	2.83	3.03E-01
synaptic vesicle transport (GO:0048489)	10	1	0.35	+	2.83	3.03E-01
isoprenoid metabolic process (GO:0006720)	21	2	0.74	+	2.69	1.69E-01
cellular response to transforming growth factor beta stimulus (GO:0071560)	21	2	0.74	+	2.69	1.69E-01
response to transforming growth factor beta (GO:0071559)	21	2	0.74	+	2.69	1.69E-01
transforming growth factor beta receptor signaling pathway (GO:0007179)	21	2	0.74	+	2.69	1.69E-01
cell-cell adhesion (GO:0098609)	158	15	5.59	+	2.68	4.84E-04
positive regulation of cell development (GO:0010720)	32	3	1.13	+	2.65	1.03E-01
regulation of defense response (GO:0031347)	32	3	1.13	+	2.65	1.03E-01
receptor-mediated endocytosis (GO:0006898)	32	3	1.13	+	2.65	1.03E-01
regulation of canonical Wnt signaling pathway (GO:0060828)	43	4	1.52	+	2.63	6.47E-02
regulation of angiogenesis (GO:0045765)	22	2	0.78	+	2.57	1.82E-01
innate immune response-activating signaling pathway (GO:0002758)	11	1	0.39	+	2.57	3.27E-01
negative regulation of TOR signaling (GO:0032007)	11	1	0.39	+	2.57	3.27E-01
regulation of cell adhesion (GO:0030155)	44	4	1.56	+	2.57	6.92E-02
positive regulation of cell-substrate adhesion (GO:0010811)	11	1	0.39	+	2.57	3.27E-01
actin filament polymerization (GO:0030041)	11	1	0.39	+	2.57	3.27E-01
regulation of vasculature development (GO:1901342)	22	2	0.78	+	2.57	1.82E-01
negative regulation of cell motility (GO:2000146)	11	1	0.39	+	2.57	3.27E-01
pattern recognition receptor signaling pathway (GO:0002221)	11	1	0.39	+	2.57	3.27E-01
membrane assembly (GO:0071709)	11	1	0.39	+	2.57	3.27E-01
mononuclear cell differentiation (GO:1903131)	11	1	0.39	+	2.57	3.27E-01
negative regulation of locomotion (GO:0040013)	11	1	0.39	+	2.57	3.27E-01
COPII-coated vesicle budding (GO:0090114)	11	1	0.39	+	2.57	3.27E-01
chloride transmembrane transport (GO:1902476)	34	3	1.2	+	2.49	1.18E-01
regulation of innate immune response (GO:0045088)	23	2	0.81	+	2.46	1.95E-01
DNA-templated transcription initiation (GO:0006352)	35	3	1.24	+	2.42	1.26E-01
regulation of response to stress (GO:0080134)	71	6	2.51	+	2.39	3.94E-02
regulation of cell projection assembly (GO:0060491)	24	2	0.85	+	2.35	2.08E-01
regulation of cyclase activity (GO:0031279)	12	1	0.42	+	2.35	3.51E-01
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	12	1	0.42	+	2.35	3.51E-01
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	12	1	0.42	+	2.35	3.51E-01
aromatic amino acid metabolic process (GO:0009072)	12	1	0.42	+	2.35	3.51E-01
phospholipid catabolic process (GO:0009395)	12	1	0.42	+	2.35	3.51E-01
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)"	12	1	0.42	+	2.35	3.51E-01
regulation of lyase activity (GO:0051339)	12	1	0.42	+	2.35	3.51E-01
heart morphogenesis (GO:0003007)	12	1	0.42	+	2.35	3.51E-01
multicellular organismal-level homeostasis (GO:0048871)	12	1	0.42	+	2.35	3.51E-01
activation of innate immune response (GO:0002218)	12	1	0.42	+	2.35	3.51E-01
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	24	2	0.85	+	2.35	2.08E-01
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	12	1	0.42	+	2.35	3.51E-01
cell morphogenesis (GO:0000902)	183	15	6.48	+	2.32	3.47E-03
hormone-mediated signaling pathway (GO:0009755)	25	2	0.88	+	2.26	2.21E-01
heart development (GO:0007507)	50	4	1.77	+	2.26	1.00E-01
negative regulation of MAPK cascade (GO:0043409)	25	2	0.88	+	2.26	2.21E-01
detection of stimulus (GO:0051606)	25	2	0.88	+	2.26	2.21E-01
regulation of response to biotic stimulus (GO:0002831)	25	2	0.88	+	2.26	2.21E-01
DNA-templated transcription (GO:0006351)	88	7	3.11	+	2.25	3.62E-02
chloride transport (GO:0006821)	38	3	1.35	+	2.23	1.50E-01
RNA biosynthetic process (GO:0032774)	89	7	3.15	+	2.22	3.81E-02
tRNA metabolic process (GO:0006399)	91	7	3.22	+	2.17	4.22E-02
regulation of lipid metabolic process (GO:0019216)	13	1	0.46	+	2.17	3.74E-01
response to light stimulus (GO:0009416)	26	2	0.92	+	2.17	2.34E-01
regulation of membrane lipid distribution (GO:0097035)	26	2	0.92	+	2.17	2.34E-01
terpenoid metabolic process (GO:0006721)	13	1	0.46	+	2.17	3.74E-01
synaptic vesicle cycle (GO:0099504)	52	4	1.84	+	2.17	1.11E-01
isoprenoid biosynthetic process (GO:0008299)	13	1	0.46	+	2.17	3.74E-01
pigmentation (GO:0043473)	13	1	0.46	+	2.17	3.74E-01
non-canonical Wnt signaling pathway (GO:0035567)	26	2	0.92	+	2.17	2.34E-01
regulation of cell-substrate adhesion (GO:0010810)	13	1	0.46	+	2.17	3.74E-01
lipid homeostasis (GO:0055088)	26	2	0.92	+	2.17	2.34E-01
nucleosome organization (GO:0034728)	13	1	0.46	+	2.17	3.74E-01
chaperone-mediated protein folding (GO:0061077)	13	1	0.46	+	2.17	3.74E-01
monoatomic anion transmembrane transport (GO:0098656)	39	3	1.38	+	2.17	1.59E-01
vesicle budding from membrane (GO:0006900)	26	2	0.92	+	2.17	2.34E-01
vesicle-mediated transport in synapse (GO:0099003)	52	4	1.84	+	2.17	1.11E-01
receptor internalization (GO:0031623)	13	1	0.46	+	2.17	3.74E-01
glial cell differentiation (GO:0010001)	13	1	0.46	+	2.17	3.74E-01
axon guidance (GO:0007411)	106	8	3.75	+	2.13	3.42E-02
cell junction organization (GO:0034330)	106	8	3.75	+	2.13	3.42E-02
neuron projection guidance (GO:0097485)	106	8	3.75	+	2.13	3.42E-02
inorganic anion transmembrane transport (GO:0098661)	40	3	1.42	+	2.12	1.67E-01
tRNA processing (GO:0008033)	55	4	1.95	+	2.05	1.30E-01
glycerolipid catabolic process (GO:0046503)	14	1	0.5	+	2.02	3.96E-01
regulation of cell shape (GO:0008360)	28	2	0.99	+	2.02	2.61E-01
protein targeting to ER (GO:0045047)	14	1	0.5	+	2.02	3.96E-01
glutathione metabolic process (GO:0006749)	14	1	0.5	+	2.02	3.96E-01
amino sugar metabolic process (GO:0006040)	14	1	0.5	+	2.02	3.96E-01
mitochondrial translation (GO:0032543)	14	1	0.5	+	2.02	3.96E-01
lytic vacuole organization (GO:0080171)	14	1	0.5	+	2.02	3.96E-01
axonogenesis (GO:0007409)	126	9	4.46	+	2.02	4.52E-02
establishment of protein localization to endoplasmic reticulum (GO:0072599)	14	1	0.5	+	2.02	3.96E-01
negative regulation of translation (GO:0017148)	14	1	0.5	+	2.02	3.96E-01
lysosome organization (GO:0007040)	14	1	0.5	+	2.02	3.96E-01
neural crest cell migration (GO:0001755)	28	2	0.99	+	2.02	2.61E-01
regulation of dendrite development (GO:0050773)	14	1	0.5	+	2.02	3.96E-01
cardiac muscle tissue development (GO:0048738)	14	1	0.5	+	2.02	3.96E-01
axon development (GO:0061564)	141	10	4.99	+	2	3.42E-02
cell adhesion (GO:0007155)	228	16	8.07	+	1.98	9.57E-03
regulation of developmental process (GO:0050793)	188	13	6.65	+	1.95	2.50E-02
cell morphogenesis involved in neuron differentiation (GO:0048667)	131	9	4.64	+	1.94	5.16E-02
positive regulation of cellular component biogenesis (GO:0044089)	44	3	1.56	+	1.93	2.03E-01
monoatomic anion transport (GO:0006820)	44	3	1.56	+	1.93	2.03E-01
regulation of Wnt signaling pathway (GO:0030111)	59	4	2.09	+	1.92	1.56E-01
purine ribonucleoside monophosphate metabolic process (GO:0009167)	15	1	0.53	+	1.88	4.18E-01
regulation of sodium ion transmembrane transporter activity (GO:2000649)	15	1	0.53	+	1.88	4.18E-01
purine nucleoside monophosphate metabolic process (GO:0009126)	15	1	0.53	+	1.88	4.18E-01
cell recognition (GO:0008037)	15	1	0.53	+	1.88	4.18E-01
regulation of macroautophagy (GO:0016241)	15	1	0.53	+	1.88	4.18E-01
neural crest cell differentiation (GO:0014033)	30	2	1.06	+	1.88	2.87E-01
neural crest cell development (GO:0014032)	30	2	1.06	+	1.88	2.87E-01
negative regulation of intracellular signal transduction (GO:1902532)	60	4	2.12	+	1.88	1.62E-01
gliogenesis (GO:0042063)	15	1	0.53	+	1.88	4.18E-01
positive regulation of protein polymerization (GO:0032273)	15	1	0.53	+	1.88	4.18E-01
glycosaminoglycan biosynthetic process (GO:0006024)	15	1	0.53	+	1.88	4.18E-01
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	15	1	0.53	+	1.88	4.18E-01
positive regulation of nervous system development (GO:0051962)	30	2	1.06	+	1.88	2.87E-01
stem cell development (GO:0048864)	30	2	1.06	+	1.88	2.87E-01
stem cell differentiation (GO:0048863)	30	2	1.06	+	1.88	2.87E-01
lymphocyte activation (GO:0046649)	15	1	0.53	+	1.88	4.18E-01
striated muscle tissue development (GO:0014706)	15	1	0.53	+	1.88	4.18E-01
endocytosis (GO:0006897)	122	8	4.32	+	1.85	7.99E-02
protein-containing complex disassembly (GO:0032984)	46	3	1.63	+	1.84	2.22E-01
tissue development (GO:0009888)	140	9	4.96	+	1.82	9.94E-02
positive regulation of developmental process (GO:0051094)	78	5	2.76	+	1.81	2.02E-01
regulation of actin filament organization (GO:0110053)	63	4	2.23	+	1.79	2.86E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	95	6	3.36	+	1.78	1.52E-01
ribonucleoside monophosphate metabolic process (GO:0009161)	16	1	0.57	+	1.77	4.38E-01
mesenchyme development (GO:0060485)	32	2	1.13	+	1.77	3.14E-01
negative regulation of immune system process (GO:0002683)	16	1	0.57	+	1.77	4.38E-01
positive regulation of autophagy (GO:0010508)	16	1	0.57	+	1.77	4.38E-01
cell-matrix adhesion (GO:0007160)	32	2	1.13	+	1.77	3.14E-01
DNA conformation change (GO:0071103)	16	1	0.57	+	1.77	4.38E-01
leukocyte differentiation (GO:0002521)	16	1	0.57	+	1.77	4.38E-01
regulation of growth (GO:0040008)	16	1	0.57	+	1.77	4.38E-01
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	16	1	0.57	+	1.77	4.38E-01
mesenchymal cell differentiation (GO:0048762)	32	2	1.13	+	1.77	3.14E-01
embryo development (GO:0009790)	65	4	2.3	+	1.74	2.93E-01
protein dephosphorylation (GO:0006470)	49	3	1.73	+	1.73	2.50E-01
inorganic anion transport (GO:0015698)	49	3	1.73	+	1.73	2.50E-01
regulation of multicellular organismal process (GO:0051239)	180	11	6.37	+	1.73	6.64E-02
nucleoside triphosphate metabolic process (GO:0009141)	33	2	1.17	+	1.71	3.27E-01
response to radiation (GO:0009314)	33	2	1.17	+	1.71	3.27E-01
protein targeting to membrane (GO:0006612)	33	2	1.17	+	1.71	3.27E-01
regulation of anatomical structure morphogenesis (GO:0022603)	83	5	2.94	+	1.7	2.20E-01
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	183	11	6.48	+	1.7	1.01E-01
regulation of cell development (GO:0060284)	50	3	1.77	+	1.7	2.60E-01
cellular response to organonitrogen compound (GO:0071417)	50	3	1.77	+	1.7	2.60E-01
neuron projection morphogenesis (GO:0048812)	151	9	5.34	+	1.68	1.16E-01
vesicle organization (GO:0016050)	101	6	3.57	+	1.68	1.74E-01
regulation of cellular component biogenesis (GO:0044087)	118	7	4.18	+	1.68	2.00E-01
cell projection morphogenesis (GO:0048858)	152	9	5.38	+	1.67	1.18E-01
plasma membrane bounded cell projection morphogenesis (GO:0120039)	152	9	5.38	+	1.67	1.18E-01
negative regulation of response to stimulus (GO:0048585)	186	11	6.58	+	1.67	1.04E-01
establishment or maintenance of bipolar cell polarity (GO:0061245)	17	1	0.6	+	1.66	4.58E-01
axo-dendritic transport (GO:0008088)	17	1	0.6	+	1.66	4.58E-01
regulation of cytosolic calcium ion concentration (GO:0051480)	17	1	0.6	+	1.66	4.58E-01
peptidyl-threonine phosphorylation (GO:0018107)	17	1	0.6	+	1.66	4.58E-01
mRNA catabolic process (GO:0006402)	51	3	1.81	+	1.66	4.28E-01
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)"	17	1	0.6	+	1.66	4.58E-01
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	34	2	1.2	+	1.66	3.40E-01
double-strand break repair via nonhomologous end joining (GO:0006303)	17	1	0.6	+	1.66	4.58E-01
transforming growth factor beta receptor superfamily signaling pathway (GO:0141091)	34	2	1.2	+	1.66	3.40E-01
positive regulation of cell differentiation (GO:0045597)	51	3	1.81	+	1.66	4.28E-01
regulation of neurotransmitter secretion (GO:0046928)	17	1	0.6	+	1.66	4.58E-01
regulation of TORC1 signaling (GO:1903432)	17	1	0.6	+	1.66	4.58E-01
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	17	1	0.6	+	1.66	4.58E-01
establishment or maintenance of apical/basal cell polarity (GO:0035088)	17	1	0.6	+	1.66	4.58E-01
enzyme-linked receptor protein signaling pathway (GO:0007167)	223	13	7.89	+	1.65	6.70E-02
cell-cell signaling (GO:0007267)	241	14	8.53	+	1.64	7.42E-02
chemical synaptic transmission (GO:0007268)	138	8	4.88	+	1.64	1.58E-01
anterograde trans-synaptic signaling (GO:0098916)	138	8	4.88	+	1.64	1.58E-01
regulation of actin filament-based process (GO:0032970)	87	5	3.08	+	1.62	2.38E-01
neuron projection development (GO:0031175)	192	11	6.8	+	1.62	1.11E-01
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	35	2	1.24	+	1.61	3.53E-01
regulation of autophagy (GO:0010506)	35	2	1.24	+	1.61	3.53E-01
embryonic morphogenesis (GO:0048598)	35	2	1.24	+	1.61	3.53E-01
regulation of system process (GO:0044057)	35	2	1.24	+	1.61	3.53E-01
anatomical structure morphogenesis (GO:0009653)	370	21	13.1	+	1.6	3.11E-02
trans-synaptic signaling (GO:0099537)	141	8	4.99	+	1.6	1.65E-01
regulation of translation (GO:0006417)	53	3	1.88	+	1.6	4.37E-01
cellular response to endogenous stimulus (GO:0071495)	177	10	6.26	+	1.6	1.45E-01
cell development (GO:0048468)	305	17	10.8	+	1.57	5.87E-02
nucleoside monophosphate metabolic process (GO:0009123)	18	1	0.64	+	1.57	4.77E-01
negative regulation of canonical Wnt signaling pathway (GO:0090090)	18	1	0.64	+	1.57	4.77E-01
microautophagy (GO:0016237)	18	1	0.64	+	1.57	4.77E-01
protein N-linked glycosylation (GO:0006487)	36	2	1.27	+	1.57	3.66E-01
lens development in camera-type eye (GO:0002088)	18	1	0.64	+	1.57	4.77E-01
positive regulation of innate immune response (GO:0045089)	18	1	0.64	+	1.57	4.77E-01
circulatory system development (GO:0072359)	90	5	3.19	+	1.57	2.52E-01
piecemeal microautophagy of the nucleus (GO:0034727)	18	1	0.64	+	1.57	4.77E-01
