PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	noca.fst.50000kb.genenames_filtered.txt (356)	noca.fst.50000kb.genenames_filtered.txt (expected)	noca.fst.50000kb.genenames_filtered.txt (over/under)	noca.fst.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
hormone metabolic process (GO:0042445)	16	2	0.45	+	4.47	7.23E-02
negative regulation of angiogenesis (GO:0016525)	8	1	0.22	+	4.47	2.03E-01
glycerophospholipid catabolic process (GO:0046475)	8	1	0.22	+	4.47	2.03E-01
protein mannosylation (GO:0035268)	8	1	0.22	+	4.47	2.03E-01
phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0043491)	8	1	0.22	+	4.47	2.03E-01
centrosome localization (GO:0051642)	8	1	0.22	+	4.47	2.03E-01
Golgi to plasma membrane protein transport (GO:0043001)	8	1	0.22	+	4.47	2.03E-01
hexose biosynthetic process (GO:0019319)	8	1	0.22	+	4.47	2.03E-01
mannosylation (GO:0097502)	8	1	0.22	+	4.47	2.03E-01
chromosome condensation (GO:0030261)	8	1	0.22	+	4.47	2.03E-01
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	17	2	0.48	+	4.21	8.05E-02
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	26	3	0.73	+	4.13	3.50E-02
centriole assembly (GO:0098534)	9	1	0.25	+	3.97	2.25E-01
mitochondrial fission (GO:0000266)	9	1	0.25	+	3.97	2.25E-01
positive regulation of cyclase activity (GO:0031281)	9	1	0.25	+	3.97	2.25E-01
smoothened signaling pathway (GO:0007224)	18	2	0.5	+	3.97	8.89E-02
cellular response to amino acid starvation (GO:0034198)	9	1	0.25	+	3.97	2.25E-01
aromatic amino acid family catabolic process (GO:0009074)	9	1	0.25	+	3.97	2.25E-01
regulation of neuron differentiation (GO:0045664)	9	1	0.25	+	3.97	2.25E-01
positive regulation of lyase activity (GO:0051349)	9	1	0.25	+	3.97	2.25E-01
negative regulation of autophagy (GO:0010507)	9	1	0.25	+	3.97	2.25E-01
phagolysosome assembly (GO:0001845)	9	1	0.25	+	3.97	2.25E-01
reticulophagy (GO:0061709)	9	1	0.25	+	3.97	2.25E-01
positive regulation of synapse assembly (GO:0051965)	9	1	0.25	+	3.97	2.25E-01
ribosomal large subunit assembly (GO:0000027)	9	1	0.25	+	3.97	2.25E-01
centriole replication (GO:0007099)	9	1	0.25	+	3.97	2.25E-01
regulation of intracellular pH (GO:0051453)	27	3	0.75	+	3.97	3.86E-02
synaptic vesicle endocytosis (GO:0048488)	27	3	0.75	+	3.97	3.86E-02
synaptic vesicle recycling (GO:0036465)	28	3	0.78	+	3.83	4.24E-02
"synaptic transmission, glutamatergic (GO:0035249)"	19	2	0.53	+	3.76	9.76E-02
transcription by RNA polymerase II (GO:0006366)	57	6	1.59	+	3.76	5.00E-03
regulation of cellular pH (GO:0030641)	29	3	0.81	+	3.7	4.63E-02
regulation of pH (GO:0006885)	29	3	0.81	+	3.7	4.63E-02
cell junction organization (GO:0034330)	108	11	3.02	+	3.64	2.14E-04
glucose 6-phosphate metabolic process (GO:0051156)	10	1	0.28	+	3.58	2.47E-01
intracellular pH reduction (GO:0051452)	10	1	0.28	+	3.58	2.47E-01
positive regulation of macroautophagy (GO:0016239)	10	1	0.28	+	3.58	2.47E-01
lymphocyte differentiation (GO:0030098)	10	1	0.28	+	3.58	2.47E-01
positive regulation of canonical Wnt signaling pathway (GO:0090263)	20	2	0.56	+	3.58	1.06E-01
negative regulation of cell migration (GO:0030336)	10	1	0.28	+	3.58	2.47E-01
cellular response to light stimulus (GO:0071482)	10	1	0.28	+	3.58	2.47E-01
centrosome duplication (GO:0051298)	10	1	0.28	+	3.58	2.47E-01
protein N-linked glycosylation via asparagine (GO:0018279)	10	1	0.28	+	3.58	2.47E-01
mitochondrial calcium ion homeostasis (GO:0051560)	10	1	0.28	+	3.58	2.47E-01
vacuolar acidification (GO:0007035)	10	1	0.28	+	3.58	2.47E-01
synaptic vesicle transport (GO:0048489)	10	1	0.28	+	3.58	2.47E-01
regulation of heart contraction (GO:0008016)	21	2	0.59	+	3.41	1.16E-01
isoprenoid metabolic process (GO:0006720)	21	2	0.59	+	3.41	1.16E-01
negative regulation of TOR signaling (GO:0032007)	11	1	0.31	+	3.25	2.68E-01
positive regulation of cell-substrate adhesion (GO:0010811)	11	1	0.31	+	3.25	2.68E-01
regulation of actin filament bundle assembly (GO:0032231)	11	1	0.31	+	3.25	2.68E-01
synapse organization (GO:0050808)	66	6	1.85	+	3.25	1.02E-02
negative regulation of cell motility (GO:2000146)	11	1	0.31	+	3.25	2.68E-01
mononuclear cell differentiation (GO:1903131)	11	1	0.31	+	3.25	2.68E-01
negative regulation of locomotion (GO:0040013)	11	1	0.31	+	3.25	2.68E-01
negative regulation of defense response (GO:0031348)	11	1	0.31	+	3.25	2.68E-01
COPII-coated vesicle budding (GO:0090114)	11	1	0.31	+	3.25	2.68E-01
cell-cell adhesion (GO:0098609)	161	14	4.5	+	3.11	1.70E-04
positive regulation of Wnt signaling pathway (GO:0030177)	23	2	0.64	+	3.11	1.34E-01
reciprocal meiotic recombination (GO:0007131)	23	2	0.64	+	3.11	1.34E-01
homologous recombination (GO:0035825)	23	2	0.64	+	3.11	1.34E-01
reciprocal homologous recombination (GO:0140527)	23	2	0.64	+	3.11	1.34E-01
DNA-templated transcription initiation (GO:0006352)	35	3	0.98	+	3.07	7.35E-02
muscle structure development (GO:0061061)	60	5	1.68	+	2.98	2.59E-02
positive regulation of cell development (GO:0010720)	36	3	1.01	+	2.98	7.86E-02
regulation of cell projection assembly (GO:0060491)	24	2	0.67	+	2.98	1.44E-01
calcium ion import (GO:0070509)	12	1	0.34	+	2.98	2.89E-01
regulation of cyclase activity (GO:0031279)	12	1	0.34	+	2.98	2.89E-01
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	12	1	0.34	+	2.98	2.89E-01
aromatic amino acid metabolic process (GO:0009072)	12	1	0.34	+	2.98	2.89E-01
phospholipid catabolic process (GO:0009395)	12	1	0.34	+	2.98	2.89E-01
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)"	12	1	0.34	+	2.98	2.89E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	96	8	2.68	+	2.98	5.40E-03
regulation of lyase activity (GO:0051339)	12	1	0.34	+	2.98	2.89E-01
heart morphogenesis (GO:0003007)	12	1	0.34	+	2.98	2.89E-01
myelination (GO:0042552)	12	1	0.34	+	2.98	2.89E-01
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	24	2	0.67	+	2.98	1.44E-01
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	12	1	0.34	+	2.98	2.89E-01
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	37	3	1.03	+	2.9	8.39E-02
post-Golgi vesicle-mediated transport (GO:0006892)	37	3	1.03	+	2.9	8.39E-02
cell morphogenesis (GO:0000902)	187	15	5.23	+	2.87	2.45E-04
detection of stimulus (GO:0051606)	25	2	0.7	+	2.86	1.54E-01
Golgi to plasma membrane transport (GO:0006893)	25	2	0.7	+	2.86	1.54E-01
response to light stimulus (GO:0009416)	26	2	0.73	+	2.75	1.64E-01
regulation of membrane lipid distribution (GO:0097035)	26	2	0.73	+	2.75	1.64E-01
terpenoid metabolic process (GO:0006721)	13	1	0.36	+	2.75	3.08E-01
isoprenoid biosynthetic process (GO:0008299)	13	1	0.36	+	2.75	3.08E-01
regulation of cell-substrate adhesion (GO:0010810)	13	1	0.36	+	2.75	3.08E-01
nucleosome organization (GO:0034728)	13	1	0.36	+	2.75	3.08E-01
clathrin-dependent endocytosis (GO:0072583)	13	1	0.36	+	2.75	3.08E-01
vesicle budding from membrane (GO:0006900)	26	2	0.73	+	2.75	1.64E-01
regulation of exocytosis (GO:0017157)	26	2	0.73	+	2.75	1.64E-01
receptor internalization (GO:0031623)	13	1	0.36	+	2.75	3.08E-01
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	67	5	1.87	+	2.67	3.92E-02
regulation of hormone levels (GO:0010817)	27	2	0.75	+	2.65	1.74E-01
axon guidance (GO:0007411)	108	8	3.02	+	2.65	1.08E-02
neuron projection guidance (GO:0097485)	108	8	3.02	+	2.65	1.08E-02
glycerolipid catabolic process (GO:0046503)	14	1	0.39	+	2.55	3.28E-01
regulation of nuclear division (GO:0051783)	28	2	0.78	+	2.55	1.84E-01
glutathione metabolic process (GO:0006749)	14	1	0.39	+	2.55	3.28E-01
regulation of blood pressure (GO:0008217)	14	1	0.39	+	2.55	3.28E-01
meiosis I (GO:0007127)	28	2	0.78	+	2.55	1.84E-01
mitochondrial translation (GO:0032543)	14	1	0.39	+	2.55	3.28E-01
lytic vacuole organization (GO:0080171)	14	1	0.39	+	2.55	3.28E-01
lysosome organization (GO:0007040)	14	1	0.39	+	2.55	3.28E-01
regulation of dendrite development (GO:0050773)	14	1	0.39	+	2.55	3.28E-01
synaptic signaling (GO:0099536)	157	11	4.39	+	2.51	4.62E-03
axonogenesis (GO:0007409)	129	9	3.61	+	2.5	1.02E-02
regulation of canonical Wnt signaling pathway (GO:0060828)	43	3	1.2	+	2.5	1.18E-01
regulation of cell shape (GO:0008360)	29	2	0.81	+	2.47	1.94E-01
cell-cell signaling (GO:0007267)	247	17	6.91	+	2.46	5.86E-04
DNA-templated transcription (GO:0006351)	89	6	2.49	+	2.41	3.84E-02
cell morphogenesis involved in neuron differentiation (GO:0048667)	134	9	3.75	+	2.4	1.29E-02
purine ribonucleoside monophosphate metabolic process (GO:0009167)	15	1	0.42	+	2.38	3.47E-01
regulation of sodium ion transmembrane transporter activity (GO:2000649)	15	1	0.42	+	2.38	3.47E-01
purine nucleoside monophosphate metabolic process (GO:0009126)	15	1	0.42	+	2.38	3.47E-01
regulation of macroautophagy (GO:0016241)	15	1	0.42	+	2.38	3.47E-01
pigmentation (GO:0043473)	15	1	0.42	+	2.38	3.47E-01
positive regulation of protein polymerization (GO:0032273)	15	1	0.42	+	2.38	3.47E-01
glycosaminoglycan biosynthetic process (GO:0006024)	15	1	0.42	+	2.38	3.47E-01
lymphocyte activation (GO:0046649)	15	1	0.42	+	2.38	3.47E-01
neural crest cell migration (GO:0001755)	30	2	0.84	+	2.38	2.04E-01
meiosis I cell cycle process (GO:0061982)	30	2	0.84	+	2.38	2.04E-01
mitochondrial membrane organization (GO:0007006)	15	1	0.42	+	2.38	3.47E-01
regulation of cell junction assembly (GO:1901888)	15	1	0.42	+	2.38	3.47E-01
mitochondrial transport (GO:0006839)	45	3	1.26	+	2.38	1.31E-01
RNA biosynthetic process (GO:0032774)	91	6	2.54	+	2.36	4.20E-02
regulation of secretion by cell (GO:1903530)	46	3	1.29	+	2.33	1.37E-01
cell adhesion (GO:0007155)	231	15	6.46	+	2.32	3.50E-03
regulation of secretion (GO:0051046)	47	3	1.31	+	2.28	1.44E-01
ribonucleoside monophosphate metabolic process (GO:0009161)	16	1	0.45	+	2.24	3.65E-01
cell recognition (GO:0008037)	16	1	0.45	+	2.24	3.65E-01
chemical synaptic transmission (GO:0007268)	144	9	4.03	+	2.24	1.98E-02
neural crest cell differentiation (GO:0014033)	32	2	0.89	+	2.24	2.25E-01
neural crest cell development (GO:0014032)	32	2	0.89	+	2.24	2.25E-01
negative regulation of immune system process (GO:0002683)	16	1	0.45	+	2.24	3.65E-01
positive regulation of autophagy (GO:0010508)	16	1	0.45	+	2.24	3.65E-01
DNA conformation change (GO:0071103)	16	1	0.45	+	2.24	3.65E-01
stem cell development (GO:0048864)	32	2	0.89	+	2.24	2.25E-01
stem cell differentiation (GO:0048863)	32	2	0.89	+	2.24	2.25E-01
leukocyte differentiation (GO:0002521)	16	1	0.45	+	2.24	3.65E-01
anterograde trans-synaptic signaling (GO:0098916)	144	9	4.03	+	2.24	1.98E-02
regulation of growth (GO:0040008)	16	1	0.45	+	2.24	3.65E-01
negative regulation of response to external stimulus (GO:0032102)	16	1	0.45	+	2.24	3.65E-01
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	16	1	0.45	+	2.24	3.65E-01
receptor-mediated endocytosis (GO:0006898)	32	2	0.89	+	2.24	2.25E-01
axon development (GO:0061564)	146	9	4.08	+	2.2	2.15E-02
trans-synaptic signaling (GO:0099537)	147	9	4.11	+	2.19	2.23E-02
nucleoside triphosphate metabolic process (GO:0009141)	33	2	0.92	+	2.17	2.35E-01
sodium ion transmembrane transport (GO:0035725)	50	3	1.4	+	2.15	1.64E-01
regulation of trans-synaptic signaling (GO:0099177)	84	5	2.35	+	2.13	8.60E-02
modulation of chemical synaptic transmission (GO:0050804)	84	5	2.35	+	2.13	8.60E-02
establishment or maintenance of bipolar cell polarity (GO:0061245)	17	1	0.48	+	2.1	3.83E-01
axo-dendritic transport (GO:0008088)	17	1	0.48	+	2.1	3.83E-01
mesenchyme development (GO:0060485)	34	2	0.95	+	2.1	2.46E-01
regulation of cytosolic calcium ion concentration (GO:0051480)	17	1	0.48	+	2.1	3.83E-01
response to radiation (GO:0009314)	34	2	0.95	+	2.1	2.46E-01
chloride transmembrane transport (GO:1902476)	34	2	0.95	+	2.1	2.46E-01
glucose metabolic process (GO:0006006)	17	1	0.48	+	2.1	3.83E-01
double-strand break repair via nonhomologous end joining (GO:0006303)	17	1	0.48	+	2.1	3.83E-01
positive regulation of programmed cell death (GO:0043068)	34	2	0.95	+	2.1	2.46E-01
negative regulation of multicellular organismal process (GO:0051241)	34	2	0.95	+	2.1	2.46E-01
regulation of neurotransmitter secretion (GO:0046928)	17	1	0.48	+	2.1	3.83E-01
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	17	1	0.48	+	2.1	3.83E-01
establishment or maintenance of apical/basal cell polarity (GO:0035088)	17	1	0.48	+	2.1	3.83E-01
mesenchymal cell differentiation (GO:0048762)	34	2	0.95	+	2.1	2.46E-01
glial cell differentiation (GO:0010001)	17	1	0.48	+	2.1	3.83E-01
organelle fission (GO:0048285)	86	5	2.4	+	2.08	9.29E-02
neuron projection morphogenesis (GO:0048812)	155	9	4.33	+	2.08	4.21E-02
heart development (GO:0007507)	52	3	1.45	+	2.06	1.77E-01
cell projection morphogenesis (GO:0048858)	156	9	4.36	+	2.06	4.28E-02
plasma membrane bounded cell projection morphogenesis (GO:0120039)	156	9	4.36	+	2.06	4.28E-02
regulation of autophagy (GO:0010506)	35	2	0.98	+	2.04	2.56E-01
regulation of developmental process (GO:0050793)	196	11	5.48	+	2.01	2.57E-02
endocytosis (GO:0006897)	125	7	3.5	+	2	8.96E-02
neuron development (GO:0048666)	215	12	6.01	+	2	2.00E-02
nucleoside monophosphate metabolic process (GO:0009123)	18	1	0.5	+	1.99	4.00E-01
negative regulation of canonical Wnt signaling pathway (GO:0090090)	18	1	0.5	+	1.99	4.00E-01
microautophagy (GO:0016237)	18	1	0.5	+	1.99	4.00E-01
protein N-linked glycosylation (GO:0006487)	36	2	1.01	+	1.99	2.67E-01
positive regulation of cytosolic calcium ion concentration (GO:0007204)	18	1	0.5	+	1.99	4.00E-01
meiotic nuclear division (GO:0140013)	36	2	1.01	+	1.99	2.67E-01
piecemeal microautophagy of the nucleus (GO:0034727)	18	1	0.5	+	1.99	4.00E-01
muscle cell development (GO:0055001)	36	2	1.01	+	1.99	2.67E-01
centrosome cycle (GO:0007098)	18	1	0.5	+	1.99	4.00E-01
regulation of TORC1 signaling (GO:1903432)	18	1	0.5	+	1.99	4.00E-01
negative regulation of organelle organization (GO:0010639)	54	3	1.51	+	1.99	1.92E-01
synaptic vesicle cycle (GO:0099504)	54	3	1.51	+	1.99	1.92E-01
vesicle-mediated transport in synapse (GO:0099003)	54	3	1.51	+	1.99	1.92E-01
tissue development (GO:0009888)	145	8	4.05	+	1.97	6.68E-02
regulation of cell development (GO:0060284)	55	3	1.54	+	1.95	1.99E-01
sodium ion transport (GO:0006814)	55	3	1.54	+	1.95	1.99E-01
positive regulation of transport (GO:0051050)	37	2	1.03	+	1.93	2.77E-01
cell development (GO:0048468)	316	17	8.84	+	1.92	8.88E-03
circulatory system development (GO:0072359)	93	5	2.6	+	1.92	1.90E-01
positive regulation of cell differentiation (GO:0045597)	56	3	1.57	+	1.92	2.06E-01
nuclear division (GO:0000280)	75	4	2.1	+	1.91	1.58E-01
mitochondrial transmembrane transport (GO:1990542)	38	2	1.06	+	1.88	2.88E-01
gliogenesis (GO:0042063)	19	1	0.53	+	1.88	4.17E-01
leukocyte activation (GO:0045321)	19	1	0.53	+	1.88	4.17E-01
maturation of LSU-rRNA (GO:0000470)	19	1	0.53	+	1.88	4.17E-01
aminoglycan biosynthetic process (GO:0006023)	19	1	0.53	+	1.88	4.17E-01
protein localization to cell junction (GO:1902414)	19	1	0.53	+	1.88	4.17E-01
regulation of synapse organization (GO:0050807)	19	1	0.53	+	1.88	4.17E-01
mitotic sister chromatid segregation (GO:0000070)	38	2	1.06	+	1.88	2.88E-01
carbohydrate biosynthetic process (GO:0016051)	19	1	0.53	+	1.88	4.17E-01
release of sequestered calcium ion into cytosol (GO:0051209)	19	1	0.53	+	1.88	4.17E-01
chloride transport (GO:0006821)	38	2	1.06	+	1.88	2.88E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	57	3	1.59	+	1.88	2.13E-01
phosphatidylinositol biosynthetic process (GO:0006661)	57	3	1.59	+	1.88	2.13E-01
regulation of multicellular organismal process (GO:0051239)	191	10	5.34	+	1.87	4.65E-02
anatomical structure morphogenesis (GO:0009653)	384	20	10.74	+	1.86	6.95E-03
regulation of cell differentiation (GO:0045595)	96	5	2.68	+	1.86	1.96E-01
G protein-coupled receptor signaling pathway (GO:0007186)	253	13	7.07	+	1.84	3.18E-02
import into nucleus (GO:0051170)	39	2	1.09	+	1.83	2.98E-01
ameboidal-type cell migration (GO:0001667)	39	2	1.09	+	1.83	2.98E-01
taxis (GO:0042330)	39	2	1.09	+	1.83	2.98E-01
protein import into nucleus (GO:0006606)	39	2	1.09	+	1.83	2.98E-01
cell cycle checkpoint signaling (GO:0000075)	39	2	1.09	+	1.83	2.98E-01
chemotaxis (GO:0006935)	39	2	1.09	+	1.83	2.98E-01
locomotion (GO:0040011)	39	2	1.09	+	1.83	2.98E-01
cell migration (GO:0016477)	176	9	4.92	+	1.83	6.56E-02
regulation of Wnt signaling pathway (GO:0030111)	59	3	1.65	+	1.82	2.28E-01
neuron projection development (GO:0031175)	199	10	5.56	+	1.8	7.62E-02
negative regulation of monoatomic ion transport (GO:0043271)	20	1	0.56	+	1.79	4.33E-01
vasculature development (GO:0001944)	40	2	1.12	+	1.79	3.08E-01
regulation of synapse structure or activity (GO:0050803)	20	1	0.56	+	1.79	4.33E-01
monoatomic anion transmembrane transport (GO:0098656)	40	2	1.12	+	1.79	3.08E-01
lysosomal transport (GO:0007041)	20	1	0.56	+	1.79	4.33E-01
peroxisome organization (GO:0007031)	20	1	0.56	+	1.79	4.33E-01
cAMP-mediated signaling (GO:0019933)	20	1	0.56	+	1.79	4.33E-01
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)"	20	1	0.56	+	1.79	4.33E-01
visual perception (GO:0007601)	20	1	0.56	+	1.79	4.33E-01
regulation of cellular component biogenesis (GO:0044087)	120	6	3.36	+	1.79	1.53E-01
epithelial cell differentiation (GO:0030855)	20	1	0.56	+	1.79	4.33E-01
cellular anatomical entity morphogenesis (GO:0032989)	183	9	5.12	+	1.76	1.06E-01
blood circulation (GO:0008015)	41	2	1.15	+	1.74	3.19E-01
inorganic anion transmembrane transport (GO:0098661)	41	2	1.15	+	1.74	3.19E-01
vesicle organization (GO:0016050)	103	5	2.88	+	1.74	2.15E-01
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	186	9	5.2	+	1.73	1.09E-01
positive regulation of developmental process (GO:0051094)	83	4	2.32	+	1.72	2.97E-01
sister chromatid segregation (GO:0000819)	42	2	1.17	+	1.7	3.29E-01
mitotic nuclear division (GO:0140014)	42	2	1.17	+	1.7	3.29E-01
protein palmitoylation (GO:0018345)	21	1	0.59	+	1.7	4.49E-01
muscle cell differentiation (GO:0042692)	42	2	1.17	+	1.7	3.29E-01
regulation of organelle assembly (GO:1902115)	21	1	0.59	+	1.7	4.49E-01
negative regulation of sequestering of calcium ion (GO:0051283)	21	1	0.59	+	1.7	4.49E-01
phagocytosis (GO:0006909)	21	1	0.59	+	1.7	4.49E-01
plasma membrane bounded cell projection assembly (GO:0120031)	126	6	3.52	+	1.7	1.69E-01
plasma membrane bounded cell projection organization (GO:0120036)	340	16	9.51	+	1.68	4.27E-02
regulation of anatomical structure morphogenesis (GO:0022603)	85	4	2.38	+	1.68	3.03E-01
regulation of actin filament organization (GO:0110053)	64	3	1.79	+	1.68	2.66E-01
tube development (GO:0035295)	43	2	1.2	+	1.66	3.39E-01
ribosomal large subunit biogenesis (GO:0042273)	43	2	1.2	+	1.66	3.39E-01
chromosome segregation (GO:0007059)	86	4	2.4	+	1.66	3.07E-01
neuron differentiation (GO:0030182)	280	13	7.83	+	1.66	6.53E-02
cell projection organization (GO:0030030)	346	16	9.67	+	1.65	4.55E-02
negative regulation of cellular component organization (GO:0051129)	65	3	1.82	+	1.65	4.31E-01
"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)"	22	1	0.62	+	1.63	4.64E-01
regulation of angiogenesis (GO:0045765)	22	1	0.62	+	1.63	4.64E-01
multicellular organism development (GO:0007275)	704	32	19.68	+	1.63	6.46E-03
Notch signaling pathway (GO:0007219)	22	1	0.62	+	1.63	4.64E-01
regulation of sodium ion transport (GO:0002028)	22	1	0.62	+	1.63	4.64E-01
phospholipid translocation (GO:0045332)	22	1	0.62	+	1.63	4.64E-01
regulation of vasculature development (GO:1901342)	22	1	0.62	+	1.63	4.64E-01
circulatory system process (GO:0003013)	44	2	1.23	+	1.63	3.50E-01
inflammatory response (GO:0006954)	22	1	0.62	+	1.63	4.64E-01
microtubule organizing center organization (GO:0031023)	22	1	0.62	+	1.63	4.64E-01
cyclic-nucleotide-mediated signaling (GO:0019935)	22	1	0.62	+	1.63	4.64E-01
cell motility (GO:0048870)	200	9	5.59	+	1.61	1.31E-01
regulation of biological quality (GO:0065008)	449	20	12.55	+	1.59	3.96E-02
generation of neurons (GO:0048699)	292	13	8.16	+	1.59	1.02E-01
regulation of actin filament polymerization (GO:0030833)	45	2	1.26	+	1.59	3.60E-01
monoatomic anion transport (GO:0006820)	45	2	1.26	+	1.59	3.60E-01
intracellular monoatomic cation homeostasis (GO:0030003)	113	5	3.16	+	1.58	2.49E-01
