PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	pyrr.fst.50000kb.genenames_filtered.txt (357)	pyrr.fst.50000kb.genenames_filtered.txt (expected)	pyrr.fst.50000kb.genenames_filtered.txt (over/under)	pyrr.fst.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
regulation of chromatin organization (GO:1902275)	4	1	0.11	+	8.92	1.08E-01
tissue homeostasis (GO:0001894)	4	1	0.11	+	8.92	1.08E-01
"mRNA cis splicing, via spliceosome (GO:0045292)"	4	1	0.11	+	8.92	1.08E-01
protein K48-linked deubiquitination (GO:0071108)	4	1	0.11	+	8.92	1.08E-01
anatomical structure homeostasis (GO:0060249)	4	1	0.11	+	8.92	1.08E-01
protein sumoylation (GO:0016925)	13	3	0.36	+	8.23	5.07E-03
aromatic amino acid family catabolic process (GO:0009074)	9	2	0.25	+	7.93	2.48E-02
cell population proliferation (GO:0008283)	9	2	0.25	+	7.93	2.48E-02
metaphase chromosome alignment (GO:0051310)	9	2	0.25	+	7.93	2.48E-02
regulation of double-strand break repair (GO:2000779)	9	2	0.25	+	7.93	2.48E-02
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	5	1	0.14	+	7.13	1.33E-01
ubiquinone biosynthetic process (GO:0006744)	5	1	0.14	+	7.13	1.33E-01
positive regulation of T cell activation (GO:0050870)	5	1	0.14	+	7.13	1.33E-01
positive regulation of cation channel activity (GO:2001259)	5	1	0.14	+	7.13	1.33E-01
cellular response to light stimulus (GO:0071482)	10	2	0.28	+	7.13	3.04E-02
negative regulation of lymphocyte activation (GO:0051250)	5	1	0.14	+	7.13	1.33E-01
synaptic vesicle transport (GO:0048489)	10	2	0.28	+	7.13	3.04E-02
peptide transport (GO:0015833)	5	1	0.14	+	7.13	1.33E-01
positive regulation of cell-substrate adhesion (GO:0010811)	11	2	0.31	+	6.48	3.65E-02
regulation of muscle system process (GO:0090257)	11	2	0.31	+	6.48	3.65E-02
axo-dendritic transport (GO:0008088)	17	3	0.48	+	6.29	1.11E-02
vesicle cytoskeletal trafficking (GO:0099518)	17	3	0.48	+	6.29	1.11E-02
vesicle transport along microtubule (GO:0047496)	17	3	0.48	+	6.29	1.11E-02
regulation of DNA repair (GO:0006282)	17	3	0.48	+	6.29	1.11E-02
synapse assembly (GO:0007416)	23	4	0.64	+	6.2	3.53E-03
calcium ion import (GO:0070509)	12	2	0.34	+	5.94	4.30E-02
aromatic amino acid metabolic process (GO:0009072)	12	2	0.34	+	5.94	4.30E-02
negative regulation of leukocyte activation (GO:0002695)	6	1	0.17	+	5.94	1.57E-01
kinetochore assembly (GO:0051382)	6	1	0.17	+	5.94	1.57E-01
postsynapse organization (GO:0099173)	6	1	0.17	+	5.94	1.57E-01
negative regulation of cell activation (GO:0050866)	6	1	0.17	+	5.94	1.57E-01
Golgi to vacuole transport (GO:0006896)	6	1	0.17	+	5.94	1.57E-01
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051896)	19	3	0.53	+	5.63	1.52E-02
chromosome localization (GO:0050000)	13	2	0.36	+	5.49	4.99E-02
negative regulation of nuclear division (GO:0051784)	13	2	0.36	+	5.49	4.99E-02
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	26	4	0.73	+	5.49	5.58E-03
establishment of chromosome localization (GO:0051303)	13	2	0.36	+	5.49	4.99E-02
regulation of cell-substrate adhesion (GO:0010810)	13	2	0.36	+	5.49	4.99E-02
transcription elongation by RNA polymerase II (GO:0006368)	13	2	0.36	+	5.49	4.99E-02
sodium ion homeostasis (GO:0055078)	13	2	0.36	+	5.49	4.99E-02
mRNA stabilization (GO:0048255)	13	2	0.36	+	5.49	4.99E-02
regulation of exocytosis (GO:0017157)	26	4	0.73	+	5.49	5.58E-03
regulation of lymphocyte activation (GO:0051249)	13	2	0.36	+	5.49	4.99E-02
lysosomal transport (GO:0007041)	20	3	0.56	+	5.35	1.75E-02
cAMP-mediated signaling (GO:0019933)	20	3	0.56	+	5.35	1.75E-02
protein K63-linked deubiquitination (GO:0070536)	7	1	0.2	+	5.09	1.81E-01
calcineurin-mediated signaling (GO:0097720)	7	1	0.2	+	5.09	1.81E-01
B cell activation (GO:0042113)	7	1	0.2	+	5.09	1.81E-01
endosome to lysosome transport (GO:0008333)	14	2	0.39	+	5.09	5.71E-02
skeletal muscle tissue development (GO:0007519)	14	2	0.39	+	5.09	5.71E-02
sulfur compound catabolic process (GO:0044273)	7	1	0.2	+	5.09	1.81E-01
regulation of leukocyte activation (GO:0002694)	14	2	0.39	+	5.09	5.71E-02
positive regulation of secretion (GO:0051047)	7	1	0.2	+	5.09	1.81E-01
RNA stabilization (GO:0043489)	14	2	0.39	+	5.09	5.71E-02
positive regulation of secretion by cell (GO:1903532)	7	1	0.2	+	5.09	1.81E-01
cardiac muscle cell differentiation (GO:0055007)	7	1	0.2	+	5.09	1.81E-01
positive regulation of axonogenesis (GO:0050772)	7	1	0.2	+	5.09	1.81E-01
behavior (GO:0007610)	7	1	0.2	+	5.09	1.81E-01
homologous chromosome segregation (GO:0045143)	7	1	0.2	+	5.09	1.81E-01
regulation of epithelial cell differentiation (GO:0030856)	7	1	0.2	+	5.09	1.81E-01
cardiac muscle tissue development (GO:0048738)	14	2	0.39	+	5.09	5.71E-02
phospholipid translocation (GO:0045332)	22	3	0.62	+	4.86	2.27E-02
cyclic-nucleotide-mediated signaling (GO:0019935)	22	3	0.62	+	4.86	2.27E-02
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	15	2	0.42	+	4.76	6.47E-02
negative regulation of RNA catabolic process (GO:1902369)	15	2	0.42	+	4.76	6.47E-02
striated muscle tissue development (GO:0014706)	15	2	0.42	+	4.76	6.47E-02
lipid translocation (GO:0034204)	23	3	0.64	+	4.65	2.55E-02
muscle tissue development (GO:0060537)	31	4	0.87	+	4.6	1.05E-02
positive regulation of cell adhesion (GO:0045785)	24	3	0.67	+	4.46	2.86E-02
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	8	1	0.22	+	4.46	2.04E-01
cell recognition (GO:0008037)	16	2	0.45	+	4.46	7.26E-02
regulation of leukocyte cell-cell adhesion (GO:1903037)	8	1	0.22	+	4.46	2.04E-01
non-motile cilium assembly (GO:1905515)	16	2	0.45	+	4.46	7.26E-02
negative regulation of angiogenesis (GO:0016525)	8	1	0.22	+	4.46	2.04E-01
positive regulation of leukocyte activation (GO:0002696)	8	1	0.22	+	4.46	2.04E-01
negative regulation of DNA metabolic process (GO:0051053)	16	2	0.45	+	4.46	7.26E-02
negative regulation of immune system process (GO:0002683)	16	2	0.45	+	4.46	7.26E-02
phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0043491)	8	1	0.22	+	4.46	2.04E-01
kinetochore organization (GO:0051383)	8	1	0.22	+	4.46	2.04E-01
positive regulation of actin filament bundle assembly (GO:0032233)	8	1	0.22	+	4.46	2.04E-01
actin filament depolymerization (GO:0030042)	8	1	0.22	+	4.46	2.04E-01
DNA-templated transcription elongation (GO:0006354)	16	2	0.45	+	4.46	7.26E-02
positive regulation of cell activation (GO:0050867)	8	1	0.22	+	4.46	2.04E-01
regulation of cell activation (GO:0050865)	16	2	0.45	+	4.46	7.26E-02
regulation of T cell activation (GO:0050863)	8	1	0.22	+	4.46	2.04E-01
skeletal muscle contraction (GO:0003009)	8	1	0.22	+	4.46	2.04E-01
positive regulation of lymphocyte activation (GO:0051251)	8	1	0.22	+	4.46	2.04E-01
hexose biosynthetic process (GO:0019319)	8	1	0.22	+	4.46	2.04E-01
skeletal muscle organ development (GO:0060538)	16	2	0.45	+	4.46	7.26E-02
protein neddylation (GO:0045116)	8	1	0.22	+	4.46	2.04E-01
Golgi to plasma membrane transport (GO:0006893)	25	3	0.7	+	4.28	3.18E-02
regulation of neurotransmitter secretion (GO:0046928)	17	2	0.48	+	4.2	8.08E-02
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051897)	17	2	0.48	+	4.2	8.08E-02
organelle transport along microtubule (GO:0072384)	26	3	0.73	+	4.12	3.53E-02
regulation of membrane lipid distribution (GO:0097035)	26	3	0.73	+	4.12	3.53E-02
centriole assembly (GO:0098534)	9	1	0.25	+	3.96	2.26E-01
negative regulation of chromosome separation (GO:1905819)	9	1	0.25	+	3.96	2.26E-01
cellular response to lipopolysaccharide (GO:0071222)	9	1	0.25	+	3.96	2.26E-01
cellular response to molecule of bacterial origin (GO:0071219)	9	1	0.25	+	3.96	2.26E-01
cellular response to biotic stimulus (GO:0071216)	9	1	0.25	+	3.96	2.26E-01
negative regulation of mitotic sister chromatid segregation (GO:0033048)	9	1	0.25	+	3.96	2.26E-01
negative regulation of sister chromatid segregation (GO:0033046)	9	1	0.25	+	3.96	2.26E-01
phagolysosome assembly (GO:0001845)	9	1	0.25	+	3.96	2.26E-01
negative regulation of mitotic sister chromatid separation (GO:2000816)	9	1	0.25	+	3.96	2.26E-01
reticulophagy (GO:0061709)	9	1	0.25	+	3.96	2.26E-01
negative regulation of chromosome segregation (GO:0051985)	9	1	0.25	+	3.96	2.26E-01
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	9	1	0.25	+	3.96	2.26E-01
adaptive immune response (GO:0002250)	9	1	0.25	+	3.96	2.26E-01
centriole replication (GO:0007099)	9	1	0.25	+	3.96	2.26E-01
mitotic spindle assembly checkpoint signaling (GO:0007094)	9	1	0.25	+	3.96	2.26E-01
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	9	1	0.25	+	3.96	2.26E-01
negative regulation of mitotic nuclear division (GO:0045839)	9	1	0.25	+	3.96	2.26E-01
biogenic amine metabolic process (GO:0006576)	18	2	0.5	+	3.96	8.93E-02
regulation of DNA metabolic process (GO:0051052)	37	4	1.04	+	3.86	1.94E-02
post-Golgi vesicle-mediated transport (GO:0006892)	37	4	1.04	+	3.86	1.94E-02
intraciliary transport (GO:0042073)	19	2	0.53	+	3.75	9.80E-02
amine metabolic process (GO:0009308)	19	2	0.53	+	3.75	9.80E-02
protein targeting to mitochondrion (GO:0006626)	19	2	0.53	+	3.75	9.80E-02
regulation of system process (GO:0044057)	39	4	1.09	+	3.66	2.31E-02
glucose 6-phosphate metabolic process (GO:0051156)	10	1	0.28	+	3.57	2.48E-01
positive regulation of DNA repair (GO:0045739)	10	1	0.28	+	3.57	2.48E-01
regulation of meiotic cell cycle (GO:0051445)	10	1	0.28	+	3.57	2.48E-01
apoptotic mitochondrial changes (GO:0008637)	10	1	0.28	+	3.57	2.48E-01
muscle organ development (GO:0007517)	20	2	0.56	+	3.57	1.07E-01
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	70	7	1.96	+	3.57	3.38E-03
regulation of protein localization to membrane (GO:1905475)	10	1	0.28	+	3.57	2.48E-01
regulation of mitotic sister chromatid segregation (GO:0033047)	10	1	0.28	+	3.57	2.48E-01
negative regulation of cell adhesion (GO:0007162)	10	1	0.28	+	3.57	2.48E-01
negative regulation of chromosome organization (GO:2001251)	10	1	0.28	+	3.57	2.48E-01
endoplasmic reticulum tubular network organization (GO:0071786)	10	1	0.28	+	3.57	2.48E-01
centrosome duplication (GO:0051298)	10	1	0.28	+	3.57	2.48E-01
protein N-linked glycosylation via asparagine (GO:0018279)	10	1	0.28	+	3.57	2.48E-01
cartilage development (GO:0051216)	10	1	0.28	+	3.57	2.48E-01
neuron migration (GO:0001764)	10	1	0.28	+	3.57	2.48E-01
cell junction assembly (GO:0034329)	60	6	1.68	+	3.57	6.52E-03
amide transport (GO:0042886)	10	1	0.28	+	3.57	2.48E-01
protein localization to mitochondrion (GO:0070585)	21	2	0.59	+	3.4	1.16E-01
establishment of protein localization to mitochondrion (GO:0072655)	21	2	0.59	+	3.4	1.16E-01
muscle cell differentiation (GO:0042692)	42	4	1.18	+	3.4	2.95E-02
transport along microtubule (GO:0010970)	53	5	1.49	+	3.36	1.61E-02
regulation of cellular response to stress (GO:0080135)	32	3	0.9	+	3.34	5.96E-02
phospholipid transport (GO:0015914)	32	3	0.9	+	3.34	5.96E-02
microtubule-based transport (GO:0099111)	55	5	1.54	+	3.24	1.86E-02
collagen fibril organization (GO:0030199)	11	1	0.31	+	3.24	2.69E-01
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	11	1	0.31	+	3.24	2.69E-01
regulation of actin filament bundle assembly (GO:0032231)	11	1	0.31	+	3.24	2.69E-01
positive regulation of cell-cell adhesion (GO:0022409)	11	1	0.31	+	3.24	2.69E-01
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	11	1	0.31	+	3.24	2.69E-01
microtubule depolymerization (GO:0007019)	11	1	0.31	+	3.24	2.69E-01
negative regulation of defense response (GO:0031348)	11	1	0.31	+	3.24	2.69E-01
COPII-coated vesicle budding (GO:0090114)	11	1	0.31	+	3.24	2.69E-01
meiotic chromosome segregation (GO:0045132)	11	1	0.31	+	3.24	2.69E-01
regulation of cell adhesion (GO:0030155)	45	4	1.26	+	3.17	3.68E-02
response to radiation (GO:0009314)	34	3	0.95	+	3.15	6.90E-02
regulation of secretion by cell (GO:1903530)	46	4	1.29	+	3.1	3.94E-02
adherens junction organization (GO:0034332)	23	2	0.64	+	3.1	1.35E-01
glycosaminoglycan metabolic process (GO:0030203)	23	2	0.64	+	3.1	1.35E-01
cortical cytoskeleton organization (GO:0030865)	23	2	0.64	+	3.1	1.35E-01
action potential (GO:0001508)	35	3	0.98	+	3.06	7.40E-02
regulation of secretion (GO:0051046)	47	4	1.32	+	3.04	4.21E-02
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	12	1	0.34	+	2.97	2.89E-01
glutamate receptor signaling pathway (GO:0007215)	12	1	0.34	+	2.97	2.89E-01
sphingolipid catabolic process (GO:0030149)	12	1	0.34	+	2.97	2.89E-01
peptide catabolic process (GO:0043171)	12	1	0.34	+	2.97	2.89E-01
cytoskeleton-dependent intracellular transport (GO:0030705)	60	5	1.68	+	2.97	2.62E-02
establishment of vesicle localization (GO:0051650)	36	3	1.01	+	2.97	7.91E-02
positive regulation of protein localization (GO:1903829)	12	1	0.34	+	2.97	2.89E-01
muscle cell development (GO:0055001)	36	3	1.01	+	2.97	7.91E-02
cholesterol transport (GO:0030301)	12	1	0.34	+	2.97	2.89E-01
immune effector process (GO:0002252)	12	1	0.34	+	2.97	2.89E-01
multicellular organismal-level homeostasis (GO:0048871)	12	1	0.34	+	2.97	2.89E-01
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	12	1	0.34	+	2.97	2.89E-01
membrane assembly (GO:0071709)	12	1	0.34	+	2.97	2.89E-01
positive regulation of transporter activity (GO:0032411)	12	1	0.34	+	2.97	2.89E-01
vesicle localization (GO:0051648)	37	3	1.04	+	2.89	8.44E-02
detection of stimulus (GO:0051606)	25	2	0.7	+	2.85	1.55E-01
response to wounding (GO:0009611)	25	2	0.7	+	2.85	1.55E-01
protein depolymerization (GO:0051261)	25	2	0.7	+	2.85	1.55E-01
regulation of mitotic nuclear division (GO:0007088)	25	2	0.7	+	2.85	1.55E-01
mitotic sister chromatid segregation (GO:0000070)	38	3	1.07	+	2.82	8.98E-02
response to light stimulus (GO:0009416)	26	2	0.73	+	2.74	1.64E-01
substrate adhesion-dependent cell spreading (GO:0034446)	13	1	0.36	+	2.74	3.09E-01
regulation of Notch signaling pathway (GO:0008593)	13	1	0.36	+	2.74	3.09E-01
"regulation of synaptic transmission, glutamatergic (GO:0051966)"	13	1	0.36	+	2.74	3.09E-01
negative regulation of apoptotic process (GO:0043066)	52	4	1.46	+	2.74	5.75E-02
synapse organization (GO:0050808)	66	5	1.85	+	2.7	3.74E-02
negative regulation of programmed cell death (GO:0043069)	53	4	1.49	+	2.69	6.08E-02
extracellular matrix organization (GO:0030198)	108	8	3.03	+	2.64	1.09E-02
aminoglycan metabolic process (GO:0006022)	27	2	0.76	+	2.64	1.74E-01
extracellular structure organization (GO:0043062)	108	8	3.03	+	2.64	1.09E-02
external encapsulating structure organization (GO:0045229)	108	8	3.03	+	2.64	1.09E-02
cell junction organization (GO:0034330)	108	8	3.03	+	2.64	1.09E-02
synaptic vesicle endocytosis (GO:0048488)	27	2	0.76	+	2.64	1.74E-01
blood circulation (GO:0008015)	41	3	1.15	+	2.61	1.07E-01
sister chromatid segregation (GO:0000819)	42	3	1.18	+	2.55	1.13E-01
import across plasma membrane (GO:0098739)	70	5	1.96	+	2.55	4.64E-02
mitotic nuclear division (GO:0140014)	42	3	1.18	+	2.55	1.13E-01
regulation of trans-synaptic signaling (GO:0099177)	84	6	2.36	+	2.55	3.04E-02
modulation of chemical synaptic transmission (GO:0050804)	84	6	2.36	+	2.55	3.04E-02
synaptic vesicle recycling (GO:0036465)	28	2	0.79	+	2.55	1.85E-01
regulation of nuclear division (GO:0051783)	28	2	0.79	+	2.55	1.85E-01
regulation of translational initiation (GO:0006446)	14	1	0.39	+	2.55	3.29E-01
glutathione metabolic process (GO:0006749)	14	1	0.39	+	2.55	3.29E-01
regulation of blood pressure (GO:0008217)	14	1	0.39	+	2.55	3.29E-01
lytic vacuole organization (GO:0080171)	14	1	0.39	+	2.55	3.29E-01
response to molecule of bacterial origin (GO:0002237)	14	1	0.39	+	2.55	3.29E-01
lysosome organization (GO:0007040)	14	1	0.39	+	2.55	3.29E-01
response to lipopolysaccharide (GO:0032496)	14	1	0.39	+	2.55	3.29E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	57	4	1.6	+	2.5	7.54E-02
cell-cell junction organization (GO:0045216)	43	3	1.21	+	2.49	1.19E-01
regulation of cell shape (GO:0008360)	29	2	0.81	+	2.46	1.95E-01
calcium ion transmembrane import into cytosol (GO:0097553)	29	2	0.81	+	2.46	1.95E-01
negative regulation of cellular catabolic process (GO:0031330)	29	2	0.81	+	2.46	1.95E-01
cell-cell adhesion (GO:0098609)	161	11	4.51	+	2.44	5.69E-03
circulatory system process (GO:0003013)	44	3	1.23	+	2.43	1.25E-01
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	15	1	0.42	+	2.38	3.47E-01
hippo signaling (GO:0035329)	15	1	0.42	+	2.38	3.47E-01
protein localization to cilium (GO:0061512)	15	1	0.42	+	2.38	3.47E-01
regulation of mitotic sister chromatid separation (GO:0010965)	15	1	0.42	+	2.38	3.47E-01
regulation of chromosome separation (GO:1905818)	15	1	0.42	+	2.38	3.47E-01
ossification (GO:0001503)	15	1	0.42	+	2.38	3.47E-01
regulation of vesicle-mediated transport (GO:0060627)	60	4	1.68	+	2.38	8.73E-02
glycosaminoglycan biosynthetic process (GO:0006024)	15	1	0.42	+	2.38	3.47E-01
microtubule polymerization or depolymerization (GO:0031109)	30	2	0.84	+	2.38	2.05E-01
muscle structure development (GO:0061061)	60	4	1.68	+	2.38	8.73E-02
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	15	1	0.42	+	2.38	3.47E-01
sarcomere organization (GO:0045214)	15	1	0.42	+	2.38	3.47E-01
lymphocyte activation (GO:0046649)	15	1	0.42	+	2.38	3.47E-01
mitochondrial membrane organization (GO:0007006)	15	1	0.42	+	2.38	3.47E-01
regulation of axonogenesis (GO:0050770)	15	1	0.42	+	2.38	3.47E-01
cell adhesion (GO:0007155)	231	15	6.48	+	2.32	3.53E-03
potassium ion import across plasma membrane (GO:1990573)	31	2	0.87	+	2.3	2.15E-01
negative regulation of protein kinase activity (GO:0006469)	31	2	0.87	+	2.3	2.15E-01
regulation of hydrolase activity (GO:0051336)	125	8	3.5	+	2.28	2.44E-02
regulation of mitotic metaphase/anaphase transition (GO:0030071)	16	1	0.45	+	2.23	3.66E-01
response to bacterium (GO:0009617)	16	1	0.45	+	2.23	3.66E-01
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	16	1	0.45	+	2.23	3.66E-01
microtubule nucleation (GO:0007020)	16	1	0.45	+	2.23	3.66E-01
DNA replication initiation (GO:0006270)	16	1	0.45	+	2.23	3.66E-01
negative regulation of response to external stimulus (GO:0032102)	16	1	0.45	+	2.23	3.66E-01
cortical actin cytoskeleton organization (GO:0030866)	16	1	0.45	+	2.23	3.66E-01
organophosphate ester transport (GO:0015748)	49	3	1.37	+	2.18	1.58E-01
negative regulation of protein phosphorylation (GO:0001933)	33	2	0.93	+	2.16	2.36E-01
"regulation of mRNA splicing, via spliceosome (GO:0048024)"	33	2	0.93	+	2.16	2.36E-01
negative regulation of phosphorylation (GO:0042326)	33	2	0.93	+	2.16	2.36E-01
neuron development (GO:0048666)	215	13	6.03	+	2.16	9.76E-03
sodium ion transmembrane transport (GO:0035725)	50	3	1.4	+	2.14	1.65E-01
lipid transport (GO:0006869)	84	5	2.36	+	2.12	8.68E-02
regulation of programmed cell death (GO:0043067)	101	6	2.83	+	2.12	6.44E-02
peptidyl-threonine phosphorylation (GO:0018107)	17	1	0.48	+	2.1	3.84E-01
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	17	1	0.48	+	2.1	3.84E-01
positive regulation of DNA-binding transcription factor activity (GO:0051091)	17	1	0.48	+	2.1	3.84E-01
chloride transmembrane transport (GO:1902476)	34	2	0.95	+	2.1	2.47E-01
glucose metabolic process (GO:0006006)	17	1	0.48	+	2.1	3.84E-01
negative regulation of apoptotic signaling pathway (GO:2001234)	17	1	0.48	+	2.1	3.84E-01
sterol transport (GO:0015918)	17	1	0.48	+	2.1	3.84E-01
negative regulation of multicellular organismal process (GO:0051241)	34	2	0.95	+	2.1	2.47E-01
nervous system development (GO:0007399)	426	25	11.94	+	2.09	4.69E-04
lipid localization (GO:0010876)	87	5	2.44	+	2.05	9.73E-02
striated muscle cell differentiation (GO:0051146)	35	2	0.98	+	2.04	2.57E-01
amino acid catabolic process (GO:0009063)	35	2	0.98	+	2.04	2.57E-01
microtubule-based movement (GO:0007018)	106	6	2.97	+	2.02	7.74E-02
protein targeting (GO:0006605)	71	4	1.99	+	2.01	1.38E-01
neurogenesis (GO:0022008)	320	18	8.97	+	2.01	5.08E-03
axon guidance (GO:0007411)	108	6	3.03	+	1.98	1.29E-01
neuron projection guidance (GO:0097485)	108	6	3.03	+	1.98	1.29E-01
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	18	1	0.5	+	1.98	4.01E-01
microautophagy (GO:0016237)	18	1	0.5	+	1.98	4.01E-01
protein N-linked glycosylation (GO:0006487)	36	2	1.01	+	1.98	2.68E-01
positive regulation of cytosolic calcium ion concentration (GO:0007204)	18	1	0.5	+	1.98	4.01E-01
piecemeal microautophagy of the nucleus (GO:0034727)	18	1	0.5	+	1.98	4.01E-01
regulation of response to stress (GO:0080134)	72	4	2.02	+	1.98	1.43E-01
cellular response to BMP stimulus (GO:0071773)	18	1	0.5	+	1.98	4.01E-01
response to BMP (GO:0071772)	18	1	0.5	+	1.98	4.01E-01
centrosome cycle (GO:0007098)	18	1	0.5	+	1.98	4.01E-01
negative regulation of catabolic process (GO:0009895)	36	2	1.01	+	1.98	2.68E-01
tissue development (GO:0009888)	145	8	4.07	+	1.97	6.73E-02
establishment of organelle localization (GO:0051656)	91	5	2.55	+	1.96	1.12E-01
generation of neurons (GO:0048699)	292	16	8.19	+	1.95	1.05E-02
nuclear chromosome segregation (GO:0098813)	55	3	1.54	+	1.95	2.00E-01
sodium ion transport (GO:0006814)	55	3	1.54	+	1.95	2.00E-01
positive regulation of transport (GO:0051050)	37	2	1.04	+	1.93	2.78E-01
negative regulation of phosphorus metabolic process (GO:0010563)	37	2	1.04	+	1.93	2.78E-01
negative regulation of phosphate metabolic process (GO:0045936)	37	2	1.04	+	1.93	2.78E-01
regulation of GTPase activity (GO:0043087)	74	4	2.07	+	1.93	1.54E-01
cell-cell junction assembly (GO:0007043)	37	2	1.04	+	1.93	2.78E-01
neuron differentiation (GO:0030182)	280	15	7.85	+	1.91	1.56E-02
positive regulation of endopeptidase activity (GO:0010950)	19	1	0.53	+	1.88	4.18E-01
microtubule polymerization (GO:0046785)	19	1	0.53	+	1.88	4.18E-01
leukocyte activation (GO:0045321)	19	1	0.53	+	1.88	4.18E-01
"synaptic transmission, glutamatergic (GO:0035249)"	19	1	0.53	+	1.88	4.18E-01
regulation of sister chromatid segregation (GO:0033045)	19	1	0.53	+	1.88	4.18E-01
aminoglycan biosynthetic process (GO:0006023)	19	1	0.53	+	1.88	4.18E-01
protein localization to cell junction (GO:1902414)	19	1	0.53	+	1.88	4.18E-01
regulation of cell-cell adhesion (GO:0022407)	19	1	0.53	+	1.88	4.18E-01
calcium-ion regulated exocytosis (GO:0017156)	19	1	0.53	+	1.88	4.18E-01
