PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	noca.dxy.50000kb.genenames_filtered.txt (197)	noca.dxy.50000kb.genenames_filtered.txt (expected)	noca.dxy.50000kb.genenames_filtered.txt (over/under)	noca.dxy.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
regulation of centriole replication (GO:0046599)	4	1	0.06	+	16.16	6.05E-02
tricarboxylic acid transport (GO:0006842)	4	1	0.06	+	16.16	6.05E-02
regulation of lymphocyte mediated immunity (GO:0002706)	5	1	0.08	+	12.93	7.50E-02
regulation of leukocyte mediated immunity (GO:0002703)	5	1	0.08	+	12.93	7.50E-02
myeloid cell differentiation (GO:0030099)	10	2	0.15	+	12.93	9.88E-03
regulation of phosphoprotein phosphatase activity (GO:0043666)	5	1	0.08	+	12.93	7.50E-02
regulation of sodium ion transmembrane transporter activity (GO:2000649)	15	3	0.23	+	12.93	1.45E-03
leukocyte differentiation (GO:0002521)	16	3	0.25	+	12.12	1.76E-03
regulation of phosphatase activity (GO:0010921)	6	1	0.09	+	10.77	8.93E-02
dopamine receptor signaling pathway (GO:0007212)	6	1	0.09	+	10.77	8.93E-02
nucleotide-sugar transmembrane transport (GO:0015780)	6	1	0.09	+	10.77	8.93E-02
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	6	1	0.09	+	10.77	8.93E-02
regulation of immune effector process (GO:0002697)	6	1	0.09	+	10.77	8.93E-02
regulation of centrosome duplication (GO:0010824)	6	1	0.09	+	10.77	8.93E-02
DNA demethylation (GO:0080111)	6	1	0.09	+	10.77	8.93E-02
central nervous system neuron differentiation (GO:0021953)	6	1	0.09	+	10.77	8.93E-02
regulation of centrosome cycle (GO:0046605)	6	1	0.09	+	10.77	8.93E-02
positive regulation of transporter activity (GO:0032411)	12	2	0.19	+	10.77	1.42E-02
regulation of lipid biosynthetic process (GO:0046890)	7	1	0.11	+	9.23	1.03E-01
regulation of adenylate cyclase activity (GO:0045761)	7	1	0.11	+	9.23	1.03E-01
B cell activation (GO:0042113)	7	1	0.11	+	9.23	1.03E-01
tRNA wobble uridine modification (GO:0002098)	7	1	0.11	+	9.23	1.03E-01
signal transduction by p53 class mediator (GO:0072331)	7	1	0.11	+	9.23	1.03E-01
retinoid metabolic process (GO:0001523)	7	1	0.11	+	9.23	1.03E-01
diterpenoid metabolic process (GO:0016101)	7	1	0.11	+	9.23	1.03E-01
purine nucleoside metabolic process (GO:0042278)	7	1	0.11	+	9.23	1.03E-01
regulation of sodium ion transport (GO:0002028)	22	3	0.34	+	8.81	4.52E-03
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	8	1	0.12	+	8.08	1.17E-01
kidney development (GO:0001822)	8	1	0.12	+	8.08	1.17E-01
vesicle targeting (GO:0006903)	8	1	0.12	+	8.08	1.17E-01
Golgi to plasma membrane protein transport (GO:0043001)	8	1	0.12	+	8.08	1.17E-01
regulation of dephosphorylation (GO:0035303)	9	1	0.14	+	7.18	1.31E-01
aromatic amino acid family catabolic process (GO:0009074)	9	1	0.14	+	7.18	1.31E-01
receptor clustering (GO:0043113)	9	1	0.14	+	7.18	1.31E-01
positive regulation of cytokine production (GO:0001819)	9	1	0.14	+	7.18	1.31E-01
glucose homeostasis (GO:0042593)	9	1	0.14	+	7.18	1.31E-01
carbohydrate homeostasis (GO:0033500)	9	1	0.14	+	7.18	1.31E-01
hemopoiesis (GO:0030097)	28	3	0.43	+	6.92	8.99E-03
leukocyte activation (GO:0045321)	19	2	0.29	+	6.8	3.43E-02
TOR signaling (GO:0031929)	10	1	0.15	+	6.46	1.44E-01
apoptotic mitochondrial changes (GO:0008637)	10	1	0.15	+	6.46	1.44E-01
leukocyte migration (GO:0050900)	10	1	0.15	+	6.46	1.44E-01
lymphocyte differentiation (GO:0030098)	10	1	0.15	+	6.46	1.44E-01
regulation of postsynapse organization (GO:0099175)	10	1	0.15	+	6.46	1.44E-01
B cell receptor signaling pathway (GO:0050853)	10	1	0.15	+	6.46	1.44E-01
protein N-linked glycosylation via asparagine (GO:0018279)	10	1	0.15	+	6.46	1.44E-01
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	10	1	0.15	+	6.46	1.44E-01
amide transport (GO:0042886)	10	1	0.15	+	6.46	1.44E-01
cAMP-mediated signaling (GO:0019933)	20	2	0.31	+	6.46	3.77E-02
signal release (GO:0023061)	43	4	0.67	+	6.01	4.28E-03
regulation of transcription elongation by RNA polymerase II (GO:0034243)	11	1	0.17	+	5.88	1.58E-01
regulation of transmembrane transporter activity (GO:0022898)	44	4	0.68	+	5.88	4.65E-03
establishment of protein localization to extracellular region (GO:0035592)	22	2	0.34	+	5.88	4.49E-02
regulation of cell growth (GO:0001558)	11	1	0.17	+	5.88	1.58E-01
pseudouridine synthesis (GO:0001522)	11	1	0.17	+	5.88	1.58E-01
protein secretion (GO:0009306)	22	2	0.34	+	5.88	4.49E-02
mononuclear cell differentiation (GO:1903131)	11	1	0.17	+	5.88	1.58E-01
cyclic-nucleotide-mediated signaling (GO:0019935)	22	2	0.34	+	5.88	4.49E-02
negative regulation of defense response (GO:0031348)	11	1	0.17	+	5.88	1.58E-01
"positive regulation of DNA-templated transcription, elongation (GO:0032786)"	11	1	0.17	+	5.88	1.58E-01
regulation of monoatomic ion transmembrane transporter activity (GO:0032412)	44	4	0.68	+	5.88	4.65E-03
COPII-coated vesicle budding (GO:0090114)	11	1	0.17	+	5.88	1.58E-01
protein localization to extracellular region (GO:0071692)	22	2	0.34	+	5.88	4.49E-02
regulation of transporter activity (GO:0032409)	46	4	0.71	+	5.62	5.46E-03
calcium ion import (GO:0070509)	12	1	0.19	+	5.39	1.71E-01
regulation of cyclase activity (GO:0031279)	12	1	0.19	+	5.39	1.71E-01
protein localization to plasma membrane (GO:0072659)	48	4	0.74	+	5.39	6.36E-03
aromatic amino acid metabolic process (GO:0009072)	12	1	0.19	+	5.39	1.71E-01
regulation of monoatomic cation transmembrane transport (GO:1904062)	48	4	0.74	+	5.39	6.36E-03
regulation of lyase activity (GO:0051339)	12	1	0.19	+	5.39	1.71E-01
DNA modification (GO:0006304)	12	1	0.19	+	5.39	1.71E-01
immune effector process (GO:0002252)	12	1	0.19	+	5.39	1.71E-01
plasma membrane organization (GO:0007009)	25	2	0.39	+	5.17	5.66E-02
Golgi to plasma membrane transport (GO:0006893)	25	2	0.39	+	5.17	5.66E-02
regulation of lipid metabolic process (GO:0019216)	13	1	0.2	+	4.97	1.84E-01
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	13	1	0.2	+	4.97	1.84E-01
terpenoid metabolic process (GO:0006721)	13	1	0.2	+	4.97	1.84E-01
"regulation of synaptic transmission, glutamatergic (GO:0051966)"	13	1	0.2	+	4.97	1.84E-01
mRNA stabilization (GO:0048255)	13	1	0.2	+	4.97	1.84E-01
clathrin-dependent endocytosis (GO:0072583)	13	1	0.2	+	4.97	1.84E-01
cellular response to organonitrogen compound (GO:0071417)	52	4	0.8	+	4.97	8.44E-03
synaptic vesicle exocytosis (GO:0016079)	26	2	0.4	+	4.97	6.07E-02
tRNA modification (GO:0006400)	41	3	0.63	+	4.73	2.53E-02
nucleoside metabolic process (GO:0009116)	14	1	0.22	+	4.62	1.96E-01
regulation of metal ion transport (GO:0010959)	56	4	0.87	+	4.62	1.09E-02
morphogenesis of an epithelium (GO:0002009)	14	1	0.22	+	4.62	1.96E-01
exocytic process (GO:0140029)	14	1	0.22	+	4.62	1.96E-01
RNA stabilization (GO:0043489)	14	1	0.22	+	4.62	1.96E-01
protein localization to cell periphery (GO:1990778)	56	4	0.87	+	4.62	1.09E-02
cell activation (GO:0001775)	29	2	0.45	+	4.46	7.36E-02
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	15	1	0.23	+	4.31	2.09E-01
lymphocyte activation (GO:0046649)	15	1	0.23	+	4.31	2.09E-01
protein localization to synapse (GO:0035418)	15	1	0.23	+	4.31	2.09E-01
mitochondrial membrane organization (GO:0007006)	15	1	0.23	+	4.31	2.09E-01
negative regulation of RNA catabolic process (GO:1902369)	15	1	0.23	+	4.31	2.09E-01
regulation of DNA-templated transcription elongation (GO:0032784)	15	1	0.23	+	4.31	2.09E-01
regulation of monoatomic ion transmembrane transport (GO:0034765)	62	4	0.96	+	4.17	1.54E-02
cellular response to peptide (GO:1901653)	31	2	0.48	+	4.17	8.27E-02
apoptotic signaling pathway (GO:0097190)	31	2	0.48	+	4.17	8.27E-02
cellular response to peptide hormone stimulus (GO:0071375)	31	2	0.48	+	4.17	8.27E-02
negative regulation of immune system process (GO:0002683)	16	1	0.25	+	4.04	2.21E-01
positive regulation of multicellular organismal process (GO:0051240)	80	5	1.24	+	4.04	7.94E-03
regulation of growth (GO:0040008)	16	1	0.25	+	4.04	2.21E-01
negative regulation of response to external stimulus (GO:0032102)	16	1	0.25	+	4.04	2.21E-01
establishment or maintenance of bipolar cell polarity (GO:0061245)	17	1	0.26	+	3.8	2.33E-01
regulation of potassium ion transport (GO:0043266)	17	1	0.26	+	3.8	2.33E-01
peptidyl-threonine phosphorylation (GO:0018107)	17	1	0.26	+	3.8	2.33E-01
negative regulation of transport (GO:0051051)	34	2	0.53	+	3.8	9.68E-02
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	17	1	0.26	+	3.8	2.33E-01
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	17	1	0.26	+	3.8	2.33E-01
glycolytic process (GO:0006096)	17	1	0.26	+	3.8	2.33E-01
protein peptidyl-prolyl isomerization (GO:0000413)	17	1	0.26	+	3.8	2.33E-01
glucose metabolic process (GO:0006006)	17	1	0.26	+	3.8	2.33E-01
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051897)	17	1	0.26	+	3.8	2.33E-01
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	17	1	0.26	+	3.8	2.33E-01
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	17	1	0.26	+	3.8	2.33E-01
establishment or maintenance of apical/basal cell polarity (GO:0035088)	17	1	0.26	+	3.8	2.33E-01
regulated exocytosis (GO:0045055)	35	2	0.54	+	3.69	1.02E-01
nicotinamide nucleotide metabolic process (GO:0046496)	35	2	0.54	+	3.69	1.02E-01
action potential (GO:0001508)	35	2	0.54	+	3.69	1.02E-01
pyridine nucleotide metabolic process (GO:0019362)	35	2	0.54	+	3.69	1.02E-01
extracellular matrix organization (GO:0030198)	108	6	1.67	+	3.59	6.60E-03
synaptic vesicle cycle (GO:0099504)	54	3	0.84	+	3.59	5.09E-02
extracellular structure organization (GO:0043062)	108	6	1.67	+	3.59	6.60E-03
external encapsulating structure organization (GO:0045229)	108	6	1.67	+	3.59	6.60E-03
vesicle-mediated transport in synapse (GO:0099003)	54	3	0.84	+	3.59	5.09E-02
regulation of monoatomic ion transport (GO:0043269)	72	4	1.11	+	3.59	2.53E-02
negative regulation of canonical Wnt signaling pathway (GO:0090090)	18	1	0.28	+	3.59	2.45E-01
smoothened signaling pathway (GO:0007224)	18	1	0.28	+	3.59	2.45E-01
protein N-linked glycosylation (GO:0006487)	36	2	0.56	+	3.59	1.07E-01
response to peptide hormone (GO:0043434)	36	2	0.56	+	3.59	1.07E-01
response to peptide (GO:1901652)	36	2	0.56	+	3.59	1.07E-01
muscle cell development (GO:0055001)	36	2	0.56	+	3.59	1.07E-01
pyridine-containing compound metabolic process (GO:0072524)	36	2	0.56	+	3.59	1.07E-01
positive regulation of cell development (GO:0010720)	36	2	0.56	+	3.59	1.07E-01
biogenic amine metabolic process (GO:0006576)	18	1	0.28	+	3.59	2.45E-01
regulation of transmembrane transport (GO:0034762)	73	4	1.13	+	3.54	2.64E-02
positive regulation of transport (GO:0051050)	37	2	0.57	+	3.49	1.12E-01
post-Golgi vesicle-mediated transport (GO:0006892)	37	2	0.57	+	3.49	1.12E-01
positive regulation of cell differentiation (GO:0045597)	56	3	0.87	+	3.46	5.57E-02
protein phosphorylation (GO:0006468)	206	11	3.19	+	3.45	3.62E-04
purine ribonucleotide catabolic process (GO:0009154)	19	1	0.29	+	3.4	2.57E-01
peptidyl-serine phosphorylation (GO:0018105)	76	4	1.18	+	3.4	3.01E-02
epithelium development (GO:0060429)	38	2	0.59	+	3.4	1.17E-01
neurotransmitter secretion (GO:0007269)	38	2	0.59	+	3.4	1.17E-01
wound healing (GO:0042060)	19	1	0.29	+	3.4	2.57E-01
amine metabolic process (GO:0009308)	19	1	0.29	+	3.4	2.57E-01
protein localization to cell junction (GO:1902414)	19	1	0.29	+	3.4	2.57E-01
regulation of synapse organization (GO:0050807)	19	1	0.29	+	3.4	2.57E-01
calcium-ion regulated exocytosis (GO:0017156)	19	1	0.29	+	3.4	2.57E-01
peptidyl-serine modification (GO:0018209)	76	4	1.18	+	3.4	3.01E-02
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051896)	19	1	0.29	+	3.4	2.57E-01
intrinsic apoptotic signaling pathway (GO:0097193)	19	1	0.29	+	3.4	2.57E-01
signal release from synapse (GO:0099643)	38	2	0.59	+	3.4	1.17E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	57	3	0.88	+	3.4	5.81E-02
tRNA processing (GO:0008033)	57	3	0.88	+	3.4	5.81E-02
apoptotic process (GO:0006915)	57	3	0.88	+	3.4	5.81E-02
response to organonitrogen compound (GO:0010243)	96	5	1.49	+	3.37	1.66E-02
cellular response to nitrogen compound (GO:1901699)	78	4	1.21	+	3.31	3.27E-02
cell-cell signaling by wnt (GO:0198738)	59	3	0.91	+	3.29	6.31E-02
phosphorylation (GO:0016310)	219	11	3.39	+	3.25	6.06E-04
negative regulation of monoatomic ion transport (GO:0043271)	20	1	0.31	+	3.23	2.68E-01
regulation of endocytosis (GO:0030100)	20	1	0.31	+	3.23	2.68E-01
male gamete generation (GO:0048232)	20	1	0.31	+	3.23	2.68E-01
ATP metabolic process (GO:0046034)	20	1	0.31	+	3.23	2.68E-01
regulation of synapse structure or activity (GO:0050803)	20	1	0.31	+	3.23	2.68E-01
epithelial cell differentiation (GO:0030855)	20	1	0.31	+	3.23	2.68E-01
cell-cell adhesion (GO:0098609)	161	8	2.49	+	3.21	3.57E-03
tube morphogenesis (GO:0035239)	41	2	0.63	+	3.15	1.32E-01
neurotransmitter transport (GO:0006836)	41	2	0.63	+	3.15	1.32E-01
programmed cell death (GO:0012501)	62	3	0.96	+	3.13	7.11E-02
cell death (GO:0008219)	62	3	0.96	+	3.13	7.11E-02
purine nucleotide catabolic process (GO:0006195)	21	1	0.32	+	3.08	2.79E-01
isoprenoid metabolic process (GO:0006720)	21	1	0.32	+	3.08	2.79E-01
cellular response to transforming growth factor beta stimulus (GO:0071560)	21	1	0.32	+	3.08	2.79E-01
response to transforming growth factor beta (GO:0071559)	21	1	0.32	+	3.08	2.79E-01
actin filament bundle assembly (GO:0051017)	21	1	0.32	+	3.08	2.79E-01
transforming growth factor beta receptor signaling pathway (GO:0007179)	21	1	0.32	+	3.08	2.79E-01
muscle cell differentiation (GO:0042692)	42	2	0.65	+	3.08	1.37E-01
regulation of organelle assembly (GO:1902115)	21	1	0.32	+	3.08	2.79E-01
regulation of calcium ion transport (GO:0051924)	21	1	0.32	+	3.08	2.79E-01
ribonucleotide catabolic process (GO:0009261)	21	1	0.32	+	3.08	2.79E-01
purine ribonucleoside triphosphate metabolic process (GO:0009205)	21	1	0.32	+	3.08	2.79E-01
intra-Golgi vesicle-mediated transport (GO:0006891)	21	1	0.32	+	3.08	2.79E-01
secretion by cell (GO:0032940)	106	5	1.64	+	3.05	2.43E-02
tube development (GO:0035295)	43	2	0.67	+	3.01	1.43E-01
secretion (GO:0046903)	109	5	1.69	+	2.96	2.70E-02
actin filament bundle organization (GO:0061572)	22	1	0.34	+	2.94	2.91E-01
purine nucleoside triphosphate metabolic process (GO:0009144)	22	1	0.34	+	2.94	2.91E-01
regulation of cell adhesion (GO:0030155)	45	2	0.7	+	2.87	1.53E-01
mitochondrial transport (GO:0006839)	45	2	0.7	+	2.87	1.53E-01
nucleoside diphosphate catabolic process (GO:0009134)	23	1	0.36	+	2.81	3.02E-01
positive regulation of Wnt signaling pathway (GO:0030177)	23	1	0.36	+	2.81	3.02E-01
positive regulation of canonical NF-kappaB signal transduction (GO:0043123)	23	1	0.36	+	2.81	3.02E-01
synapse assembly (GO:0007416)	23	1	0.36	+	2.81	3.02E-01
vesicle fusion (GO:0006906)	46	2	0.71	+	2.81	1.59E-01
organelle membrane fusion (GO:0090174)	47	2	0.73	+	2.75	1.64E-01
positive regulation of MAPK cascade (GO:0043410)	71	3	1.1	+	2.73	9.74E-02
tissue morphogenesis (GO:0048729)	24	1	0.37	+	2.69	3.12E-01
regulation of innate immune response (GO:0045088)	24	1	0.37	+	2.69	3.12E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	96	4	1.49	+	2.69	6.17E-02
regulation of cytokine production (GO:0001817)	24	1	0.37	+	2.69	3.12E-01
antigen receptor-mediated signaling pathway (GO:0050851)	24	1	0.37	+	2.69	3.12E-01
glycosyl compound metabolic process (GO:1901657)	24	1	0.37	+	2.69	3.12E-01
regulation of cell differentiation (GO:0045595)	96	4	1.49	+	2.69	6.17E-02
cellular response to organic cyclic compound (GO:0071407)	24	1	0.37	+	2.69	3.12E-01
chordate embryonic development (GO:0043009)	24	1	0.37	+	2.69	3.12E-01
hexose metabolic process (GO:0019318)	24	1	0.37	+	2.69	3.12E-01
carbohydrate derivative transport (GO:1901264)	24	1	0.37	+	2.69	3.12E-01
export from cell (GO:0140352)	121	5	1.87	+	2.67	3.98E-02
cellular response to oxygen-containing compound (GO:1901701)	97	4	1.5	+	2.67	6.36E-02
response to nitrogen compound (GO:1901698)	123	5	1.9	+	2.63	4.22E-02
embryo development (GO:0009790)	74	3	1.14	+	2.62	1.07E-01
positive regulation of gene expression (GO:0010628)	75	3	1.16	+	2.59	1.10E-01
positive regulation of immune system process (GO:0002684)	75	3	1.16	+	2.59	1.10E-01
ribonucleoside triphosphate metabolic process (GO:0009199)	25	1	0.39	+	2.59	3.23E-01
cellular response to fibroblast growth factor stimulus (GO:0044344)	25	1	0.39	+	2.59	3.23E-01
fibroblast growth factor receptor signaling pathway (GO:0008543)	25	1	0.39	+	2.59	3.23E-01
response to wounding (GO:0009611)	25	1	0.39	+	2.59	3.23E-01
cell adhesion mediated by integrin (GO:0033627)	25	1	0.39	+	2.59	3.23E-01
response to fibroblast growth factor (GO:0071774)	25	1	0.39	+	2.59	3.23E-01
membrane depolarization (GO:0051899)	25	1	0.39	+	2.59	3.23E-01
sodium ion transmembrane transport (GO:0035725)	50	2	0.77	+	2.59	1.81E-01
cellular response to endogenous stimulus (GO:0071495)	179	7	2.77	+	2.53	2.13E-02
nucleoside diphosphate metabolic process (GO:0009132)	26	1	0.4	+	2.49	3.34E-01
non-canonical Wnt signaling pathway (GO:0035567)	26	1	0.4	+	2.49	3.34E-01
lipid homeostasis (GO:0055088)	26	1	0.4	+	2.49	3.34E-01
cellular process involved in reproduction in multicellular organism (GO:0022412)	26	1	0.4	+	2.49	3.34E-01
purine-containing compound catabolic process (GO:0072523)	26	1	0.4	+	2.49	3.34E-01
vesicle budding from membrane (GO:0006900)	26	1	0.4	+	2.49	3.34E-01
cellular response to starvation (GO:0009267)	26	1	0.4	+	2.49	3.34E-01
regulation of response to biotic stimulus (GO:0002831)	26	1	0.4	+	2.49	3.34E-01
RNA modification (GO:0009451)	79	3	1.22	+	2.45	1.24E-01
membrane fusion (GO:0061025)	53	2	0.82	+	2.44	1.98E-01
regulation of immune system process (GO:0002682)	107	4	1.66	+	2.42	8.43E-02
nucleotide catabolic process (GO:0009166)	27	1	0.42	+	2.39	3.44E-01
phosphatidylinositol dephosphorylation (GO:0046856)	27	1	0.42	+	2.39	3.44E-01
cellular component assembly involved in morphogenesis (GO:0010927)	27	1	0.42	+	2.39	3.44E-01
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	27	1	0.42	+	2.39	3.44E-01
endosomal transport (GO:0016197)	108	4	1.67	+	2.39	8.66E-02
striated muscle cell development (GO:0055002)	27	1	0.42	+	2.39	3.44E-01
purine-containing compound biosynthetic process (GO:0072522)	54	2	0.84	+	2.39	2.03E-01
synaptic vesicle endocytosis (GO:0048488)	27	1	0.42	+	2.39	3.44E-01
myofibril assembly (GO:0030239)	27	1	0.42	+	2.39	3.44E-01
cellular response to nutrient levels (GO:0031669)	27	1	0.42	+	2.39	3.44E-01
cellular response to extracellular stimulus (GO:0031668)	27	1	0.42	+	2.39	3.44E-01
membrane organization (GO:0061024)	163	6	2.52	+	2.38	4.11E-02
regulation of cell development (GO:0060284)	55	2	0.85	+	2.35	2.09E-01
sodium ion transport (GO:0006814)	55	2	0.85	+	2.35	2.09E-01
positive regulation of developmental process (GO:0051094)	83	3	1.28	+	2.34	1.37E-01
response to endogenous stimulus (GO:0009719)	194	7	3	+	2.33	3.13E-02
synaptic vesicle recycling (GO:0036465)	28	1	0.43	+	2.31	3.54E-01
response to organic cyclic compound (GO:0014070)	28	1	0.43	+	2.31	3.54E-01
Ras protein signal transduction (GO:0007265)	28	1	0.43	+	2.31	3.54E-01
monosaccharide metabolic process (GO:0005996)	28	1	0.43	+	2.31	3.54E-01
meiosis I (GO:0007127)	28	1	0.43	+	2.31	3.54E-01
steroid metabolic process (GO:0008202)	28	1	0.43	+	2.31	3.54E-01
cellular response to external stimulus (GO:0071496)	28	1	0.43	+	2.31	3.54E-01
regulation of developmental process (GO:0050793)	196	7	3.03	+	2.31	3.28E-02
response to growth factor (GO:0070848)	85	3	1.32	+	2.28	1.45E-01
cellular response to growth factor stimulus (GO:0071363)	85	3	1.32	+	2.28	1.45E-01
regulation of anatomical structure morphogenesis (GO:0022603)	85	3	1.32	+	2.28	1.45E-01
cytokine-mediated signaling pathway (GO:0019221)	57	2	0.88	+	2.27	2.20E-01
protein localization to membrane (GO:0072657)	115	4	1.78	+	2.25	1.03E-01
cell adhesion (GO:0007155)	231	8	3.57	+	2.24	2.73E-02
regulation of cell shape (GO:0008360)	29	1	0.45	+	2.23	3.64E-01
calcium ion transmembrane import into cytosol (GO:0097553)	29	1	0.45	+	2.23	3.64E-01
negative regulation of cellular catabolic process (GO:0031330)	29	1	0.45	+	2.23	3.64E-01
exocytosis (GO:0006887)	87	3	1.35	+	2.23	1.52E-01
peptidyl-amino acid modification (GO:0018193)	203	7	3.14	+	2.23	3.85E-02
regulation of Wnt signaling pathway (GO:0030111)	59	2	0.91	+	2.19	2.32E-01
organelle fusion (GO:0048284)	59	2	0.91	+	2.19	2.32E-01
anatomical structure formation involved in morphogenesis (GO:0048646)	89	3	1.38	+	2.18	1.59E-01
gamete generation (GO:0007276)	30	1	0.46	+	2.15	3.74E-01
integrin-mediated signaling pathway (GO:0007229)	30	1	0.46	+	2.15	3.74E-01
response to oxygen-containing compound (GO:1901700)	120	4	1.86	+	2.15	1.16E-01
proteoglycan metabolic process (GO:0006029)	30	1	0.46	+	2.15	3.74E-01
muscle structure development (GO:0061061)	60	2	0.93	+	2.15	2.38E-01
meiosis I cell cycle process (GO:0061982)	30	1	0.46	+	2.15	3.74E-01
cellular response to organic substance (GO:0071310)	181	6	2.8	+	2.14	6.23E-02
cellular response to cytokine stimulus (GO:0071345)	61	2	0.94	+	2.12	2.43E-01
macroautophagy (GO:0016236)	62	2	0.96	+	2.08	2.49E-01
negative regulation of Wnt signaling pathway (GO:0030178)	31	1	0.48	+	2.08	3.84E-01
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	186	6	2.88	+	2.08	6.91E-02
tRNA metabolic process (GO:0006399)	93	3	1.44	+	2.08	1.74E-01
nervous system process (GO:0050877)	62	2	0.96	+	2.08	2.49E-01
endocytic recycling (GO:0032456)	31	1	0.48	+	2.08	3.84E-01
establishment of protein localization to membrane (GO:0090150)	62	2	0.96	+	2.08	2.49E-01
immune response-activating cell surface receptor signaling pathway (GO:0002429)	32	1	0.5	+	2.02	3.93E-01
multicellular organismal reproductive process (GO:0048609)	32	1	0.5	+	2.02	3.93E-01
regulation of canonical NF-kappaB signal transduction (GO:0043122)	32	1	0.5	+	2.02	3.93E-01
multicellular organism reproduction (GO:0032504)	32	1	0.5	+	2.02	3.93E-01
carbohydrate catabolic process (GO:0016052)	32	1	0.5	+	2.02	3.93E-01
cytoskeleton-dependent cytokinesis (GO:0061640)	32	1	0.5	+	2.02	3.93E-01
receptor-mediated endocytosis (GO:0006898)	32	1	0.5	+	2.02	3.93E-01
regulation of multicellular organismal development (GO:2000026)	96	3	1.49	+	2.02	1.86E-01
localization within membrane (GO:0051668)	162	5	2.51	+	1.99	1.07E-01
enzyme-linked receptor protein signaling pathway (GO:0007167)	227	7	3.51	+	1.99	9.11E-02
regulation of immune response (GO:0050776)	65	2	1.01	+	1.99	2.66E-01
nucleoside triphosphate metabolic process (GO:0009141)	33	1	0.51	+	1.96	4.03E-01
response to starvation (GO:0042594)	33	1	0.51	+	1.96	4.03E-01
