PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	pyrr.dxy.50000kb.genenames_filtered.txt (187)	pyrr.dxy.50000kb.genenames_filtered.txt (expected)	pyrr.dxy.50000kb.genenames_filtered.txt (over/under)	pyrr.dxy.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
vitamin transport (GO:0051180)	12	2	0.18	+	11.35	1.29E-02
vesicle fusion to plasma membrane (GO:0099500)	6	1	0.09	+	11.35	8.50E-02
peptide catabolic process (GO:0043171)	12	2	0.18	+	11.35	1.29E-02
protein localization to lysosome (GO:0061462)	6	1	0.09	+	11.35	8.50E-02
postsynapse organization (GO:0099173)	6	1	0.09	+	11.35	8.50E-02
positive regulation of transporter activity (GO:0032411)	12	2	0.18	+	11.35	1.29E-02
B cell activation (GO:0042113)	7	1	0.1	+	9.73	9.84E-02
exocytic process (GO:0140029)	14	2	0.21	+	9.73	1.74E-02
spindle elongation (GO:0051231)	7	1	0.1	+	9.73	9.84E-02
regulation of sodium ion transport (GO:0002028)	22	3	0.32	+	9.28	3.91E-03
fluid transport (GO:0042044)	8	1	0.12	+	8.51	1.12E-01
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	8	1	0.12	+	8.51	1.12E-01
ribosomal subunit export from nucleus (GO:0000054)	8	1	0.12	+	8.51	1.12E-01
chromosome condensation (GO:0030261)	8	1	0.12	+	8.51	1.12E-01
axoneme assembly (GO:0035082)	16	2	0.23	+	8.51	2.25E-02
water transport (GO:0006833)	8	1	0.12	+	8.51	1.12E-01
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	26	3	0.38	+	7.86	6.32E-03
leukocyte activation (GO:0045321)	19	2	0.28	+	7.17	3.11E-02
response to insulin (GO:0032868)	19	2	0.28	+	7.17	3.11E-02
TOR signaling (GO:0031929)	10	1	0.15	+	6.81	1.38E-01
intracellular pH reduction (GO:0051452)	10	1	0.15	+	6.81	1.38E-01
lymphocyte differentiation (GO:0030098)	10	1	0.15	+	6.81	1.38E-01
B cell receptor signaling pathway (GO:0050853)	10	1	0.15	+	6.81	1.38E-01
negative regulation of cell migration (GO:0030336)	10	1	0.15	+	6.81	1.38E-01
cilium movement (GO:0003341)	20	2	0.29	+	6.81	3.43E-02
neuron migration (GO:0001764)	10	1	0.15	+	6.81	1.38E-01
vacuolar acidification (GO:0007035)	10	1	0.15	+	6.81	1.38E-01
amide transport (GO:0042886)	10	1	0.15	+	6.81	1.38E-01
synaptic vesicle transport (GO:0048489)	10	1	0.15	+	6.81	1.38E-01
immune response-activating cell surface receptor signaling pathway (GO:0002429)	32	3	0.47	+	6.38	1.13E-02
cellular response to oxidative stress (GO:0034599)	11	1	0.16	+	6.19	1.50E-01
chromosome organization involved in meiotic cell cycle (GO:0070192)	11	1	0.16	+	6.19	1.50E-01
regulation of transmembrane transporter activity (GO:0022898)	44	4	0.65	+	6.19	3.87E-03
regulation of cell growth (GO:0001558)	11	1	0.16	+	6.19	1.50E-01
pseudouridine synthesis (GO:0001522)	11	1	0.16	+	6.19	1.50E-01
protein export from nucleus (GO:0006611)	11	1	0.16	+	6.19	1.50E-01
negative regulation of cell motility (GO:2000146)	11	1	0.16	+	6.19	1.50E-01
mononuclear cell differentiation (GO:1903131)	11	1	0.16	+	6.19	1.50E-01
negative regulation of locomotion (GO:0040013)	11	1	0.16	+	6.19	1.50E-01
regulation of monoatomic ion transmembrane transporter activity (GO:0032412)	44	4	0.65	+	6.19	3.87E-03
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	34	3	0.5	+	6.01	1.34E-02
microtubule bundle formation (GO:0001578)	23	2	0.34	+	5.92	4.44E-02
synapse assembly (GO:0007416)	23	2	0.34	+	5.92	4.44E-02
regulation of transporter activity (GO:0032409)	46	4	0.68	+	5.92	4.54E-03
calcium ion import (GO:0070509)	12	1	0.18	+	5.67	1.63E-01
translational elongation (GO:0006414)	24	2	0.35	+	5.67	4.79E-02
antigen receptor-mediated signaling pathway (GO:0050851)	24	2	0.35	+	5.67	4.79E-02
immune effector process (GO:0002252)	12	1	0.18	+	5.67	1.63E-01
membrane assembly (GO:0071709)	12	1	0.18	+	5.67	1.63E-01
axonemal dynein complex assembly (GO:0070286)	12	1	0.18	+	5.67	1.63E-01
establishment of protein localization to vacuole (GO:0072666)	25	2	0.37	+	5.45	5.16E-02
plasma membrane organization (GO:0007009)	25	2	0.37	+	5.45	5.16E-02
immune response-activating signaling pathway (GO:0002757)	38	3	0.56	+	5.38	1.80E-02
"regulation of synaptic transmission, glutamatergic (GO:0051966)"	13	1	0.19	+	5.24	1.75E-01
synaptic vesicle exocytosis (GO:0016079)	26	2	0.38	+	5.24	5.54E-02
cellular response to starvation (GO:0009267)	26	2	0.38	+	5.24	5.54E-02
receptor internalization (GO:0031623)	13	1	0.19	+	5.24	1.75E-01
immune response-regulating signaling pathway (GO:0002764)	40	3	0.59	+	5.11	2.07E-02
regulation of intracellular pH (GO:0051453)	27	2	0.4	+	5.04	5.93E-02
protein localization to vacuole (GO:0072665)	27	2	0.4	+	5.04	5.93E-02
cellular response to nutrient levels (GO:0031669)	27	2	0.4	+	5.04	5.93E-02
cellular response to extracellular stimulus (GO:0031668)	27	2	0.4	+	5.04	5.93E-02
endosome to lysosome transport (GO:0008333)	14	1	0.21	+	4.86	1.87E-01
protein targeting to ER (GO:0045047)	14	1	0.21	+	4.86	1.87E-01
morphogenesis of an epithelium (GO:0002009)	14	1	0.21	+	4.86	1.87E-01
establishment of protein localization to endoplasmic reticulum (GO:0072599)	14	1	0.21	+	4.86	1.87E-01
cellular response to external stimulus (GO:0071496)	28	2	0.41	+	4.86	6.32E-02
protein targeting to vacuole (GO:0006623)	14	1	0.21	+	4.86	1.87E-01
positive regulation of cell differentiation (GO:0045597)	56	4	0.82	+	4.86	9.13E-03
regulation of dendrite development (GO:0050773)	14	1	0.21	+	4.86	1.87E-01
regulation of cellular pH (GO:0030641)	29	2	0.43	+	4.7	6.73E-02
calcium ion transmembrane import into cytosol (GO:0097553)	29	2	0.43	+	4.7	6.73E-02
cell activation (GO:0001775)	29	2	0.43	+	4.7	6.73E-02
regulation of pH (GO:0006885)	29	2	0.43	+	4.7	6.73E-02
lymphocyte activation (GO:0046649)	15	1	0.22	+	4.54	1.99E-01
regulation of cell adhesion (GO:0030155)	45	3	0.66	+	4.54	2.82E-02
positive regulation of immune system process (GO:0002684)	75	5	1.1	+	4.54	4.88E-03
activation of immune response (GO:0002253)	45	3	0.66	+	4.54	2.82E-02
vesicle fusion (GO:0006906)	46	3	0.68	+	4.44	2.98E-02
organelle membrane fusion (GO:0090174)	47	3	0.69	+	4.35	3.15E-02
chemical synaptic transmission (GO:0007268)	144	9	2.11	+	4.26	2.72E-04
hormone metabolic process (GO:0042445)	16	1	0.23	+	4.26	2.11E-01
regulation of monoatomic cation transmembrane transport (GO:1904062)	48	3	0.7	+	4.26	3.33E-02
leukocyte differentiation (GO:0002521)	16	1	0.23	+	4.26	2.11E-01
anterograde trans-synaptic signaling (GO:0098916)	144	9	2.11	+	4.26	2.72E-04
regulation of growth (GO:0040008)	16	1	0.23	+	4.26	2.11E-01
trans-synaptic signaling (GO:0099537)	147	9	2.16	+	4.17	3.17E-04
response to starvation (GO:0042594)	33	2	0.48	+	4.13	8.42E-02
sodium ion transmembrane transport (GO:0035725)	50	3	0.73	+	4.09	3.69E-02
axo-dendritic transport (GO:0008088)	17	1	0.25	+	4.01	2.23E-01
regulation of cytosolic calcium ion concentration (GO:0051480)	17	1	0.25	+	4.01	2.23E-01
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	17	1	0.25	+	4.01	2.23E-01
intracellular protein transmembrane transport (GO:0065002)	17	1	0.25	+	4.01	2.23E-01
synaptic signaling (GO:0099536)	157	9	2.31	+	3.9	5.14E-04
regulated exocytosis (GO:0045055)	35	2	0.51	+	3.89	9.32E-02
action potential (GO:0001508)	35	2	0.51	+	3.89	9.32E-02
membrane fusion (GO:0061025)	53	3	0.78	+	3.85	4.28E-02
synaptic vesicle cycle (GO:0099504)	54	3	0.79	+	3.78	4.48E-02
vesicle-mediated transport in synapse (GO:0099003)	54	3	0.79	+	3.78	4.48E-02
positive regulation of cytosolic calcium ion concentration (GO:0007204)	18	1	0.26	+	3.78	2.34E-01
response to peptide hormone (GO:0043434)	36	2	0.53	+	3.78	9.77E-02
T cell receptor signaling pathway (GO:0050852)	18	1	0.26	+	3.78	2.34E-01
response to peptide (GO:1901652)	36	2	0.53	+	3.78	9.77E-02
muscle cell development (GO:0055001)	36	2	0.53	+	3.78	9.77E-02
positive regulation of cell development (GO:0010720)	36	2	0.53	+	3.78	9.77E-02
L-amino acid transport (GO:0015807)	18	1	0.26	+	3.78	2.34E-01
regulation of transmembrane transport (GO:0034762)	73	4	1.07	+	3.73	2.24E-02
canonical Wnt signaling pathway (GO:0060070)	55	3	0.81	+	3.71	4.69E-02
positive regulation of immune response (GO:0050778)	55	3	0.81	+	3.71	4.69E-02
sodium ion transport (GO:0006814)	55	3	0.81	+	3.71	4.69E-02
positive regulation of transport (GO:0051050)	37	2	0.54	+	3.68	1.02E-01
response to extracellular stimulus (GO:0009991)	37	2	0.54	+	3.68	1.02E-01
response to nutrient levels (GO:0031667)	37	2	0.54	+	3.68	1.02E-01
regulation of metal ion transport (GO:0010959)	56	3	0.82	+	3.65	4.90E-02
neurotransmitter secretion (GO:0007269)	38	2	0.56	+	3.58	1.07E-01
wound healing (GO:0042060)	19	1	0.28	+	3.58	2.45E-01
amine metabolic process (GO:0009308)	19	1	0.28	+	3.58	2.45E-01
release of sequestered calcium ion into cytosol (GO:0051209)	19	1	0.28	+	3.58	2.45E-01
signal release from synapse (GO:0099643)	38	2	0.56	+	3.58	1.07E-01
cell-cell signaling (GO:0007267)	247	13	3.63	+	3.58	7.25E-05
protein-containing complex localization (GO:0031503)	57	3	0.84	+	3.58	5.12E-02
Wnt signaling pathway (GO:0016055)	57	3	0.84	+	3.58	5.12E-02
organelle fusion (GO:0048284)	59	3	0.87	+	3.46	5.57E-02
cell-cell signaling by wnt (GO:0198738)	59	3	0.87	+	3.46	5.57E-02
regulation of endocytosis (GO:0030100)	20	1	0.29	+	3.4	2.56E-01
positive regulation of synaptic transmission (GO:0050806)	20	1	0.29	+	3.4	2.56E-01
lysosomal transport (GO:0007041)	20	1	0.29	+	3.4	2.56E-01
cAMP-mediated signaling (GO:0019933)	20	1	0.29	+	3.4	2.56E-01
neutral amino acid transport (GO:0015804)	20	1	0.29	+	3.4	2.56E-01
neurotransmitter transport (GO:0006836)	41	2	0.6	+	3.32	1.21E-01
regulation of monoatomic ion transmembrane transport (GO:0034765)	62	3	0.91	+	3.29	6.28E-02
nervous system process (GO:0050877)	62	3	0.91	+	3.29	6.28E-02
positive regulation of developmental process (GO:0051094)	83	4	1.22	+	3.28	3.38E-02
muscle cell differentiation (GO:0042692)	42	2	0.62	+	3.24	1.26E-01
negative regulation of sequestering of calcium ion (GO:0051283)	21	1	0.31	+	3.24	2.67E-01
regulation of immune system process (GO:0002682)	107	5	1.57	+	3.18	2.07E-02
signal release (GO:0023061)	43	2	0.63	+	3.17	1.31E-01
axon guidance (GO:0007411)	108	5	1.59	+	3.15	2.14E-02
neuron projection guidance (GO:0097485)	108	5	1.59	+	3.15	2.14E-02
regulation of immune response (GO:0050776)	65	3	0.95	+	3.14	7.03E-02
synapse organization (GO:0050808)	66	3	0.97	+	3.09	7.29E-02
inflammatory response (GO:0006954)	22	1	0.32	+	3.09	2.78E-01
cyclic-nucleotide-mediated signaling (GO:0019935)	22	1	0.32	+	3.09	2.78E-01
positive regulation of canonical NF-kappaB signal transduction (GO:0043123)	23	1	0.34	+	2.96	2.89E-01
"regulation of alternative mRNA splicing, via spliceosome (GO:0000381)"	23	1	0.34	+	2.96	2.89E-01
cell-cell adhesion (GO:0098609)	161	7	2.36	+	2.96	9.66E-03
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	70	3	1.03	+	2.92	8.37E-02
immune system process (GO:0002376)	119	5	1.75	+	2.86	3.09E-02
tissue morphogenesis (GO:0048729)	24	1	0.35	+	2.84	2.99E-01
positive regulation of cell adhesion (GO:0045785)	24	1	0.35	+	2.84	2.99E-01
phosphatidylinositol metabolic process (GO:0046488)	96	4	1.41	+	2.84	5.28E-02
protein localization to plasma membrane (GO:0072659)	48	2	0.7	+	2.84	1.57E-01
response to organonitrogen compound (GO:0010243)	96	4	1.41	+	2.84	5.28E-02
regulation of cytokine production (GO:0001817)	24	1	0.35	+	2.84	2.99E-01
response to oxidative stress (GO:0006979)	24	1	0.35	+	2.84	2.99E-01
regulation of cell differentiation (GO:0045595)	96	4	1.41	+	2.84	5.28E-02
chordate embryonic development (GO:0043009)	24	1	0.35	+	2.84	2.99E-01
regulation of synaptic plasticity (GO:0048167)	24	1	0.35	+	2.84	2.99E-01
regulation of monoatomic ion transport (GO:0043269)	72	3	1.06	+	2.84	8.93E-02
intracellular chemical homeostasis (GO:0055082)	124	5	1.82	+	2.75	3.60E-02
cellular response to fibroblast growth factor stimulus (GO:0044344)	25	1	0.37	+	2.72	3.09E-01
fibroblast growth factor receptor signaling pathway (GO:0008543)	25	1	0.37	+	2.72	3.09E-01
response to wounding (GO:0009611)	25	1	0.37	+	2.72	3.09E-01
cell adhesion mediated by integrin (GO:0033627)	25	1	0.37	+	2.72	3.09E-01
response to fibroblast growth factor (GO:0071774)	25	1	0.37	+	2.72	3.09E-01
regulation of sequestering of calcium ion (GO:0051282)	25	1	0.37	+	2.72	3.09E-01
protein localization to endoplasmic reticulum (GO:0070972)	25	1	0.37	+	2.72	3.09E-01
membrane depolarization (GO:0051899)	25	1	0.37	+	2.72	3.09E-01
peptidyl-serine phosphorylation (GO:0018105)	76	3	1.12	+	2.69	1.01E-01
peptidyl-serine modification (GO:0018209)	76	3	1.12	+	2.69	1.01E-01
intracellular protein transport (GO:0006886)	178	7	2.61	+	2.68	1.61E-02
regulation of membrane potential (GO:0042391)	102	4	1.5	+	2.67	6.33E-02
axonogenesis (GO:0007409)	129	5	1.89	+	2.64	4.15E-02
non-canonical Wnt signaling pathway (GO:0035567)	26	1	0.38	+	2.62	3.20E-01
lipid homeostasis (GO:0055088)	26	1	0.38	+	2.62	3.20E-01
cell morphogenesis involved in neuron differentiation (GO:0048667)	134	5	1.97	+	2.54	4.76E-02
nuclear export (GO:0051168)	54	2	0.79	+	2.52	1.88E-01
phosphatidylinositol dephosphorylation (GO:0046856)	27	1	0.4	+	2.52	3.30E-01
extracellular matrix organization (GO:0030198)	108	4	1.59	+	2.52	7.47E-02
cellular component assembly involved in morphogenesis (GO:0010927)	27	1	0.4	+	2.52	3.30E-01
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	27	1	0.4	+	2.52	3.30E-01
regulation of hormone levels (GO:0010817)	27	1	0.4	+	2.52	3.30E-01
striated muscle cell development (GO:0055002)	27	1	0.4	+	2.52	3.30E-01
extracellular structure organization (GO:0043062)	108	4	1.59	+	2.52	7.47E-02
external encapsulating structure organization (GO:0045229)	108	4	1.59	+	2.52	7.47E-02
synaptic vesicle endocytosis (GO:0048488)	27	1	0.4	+	2.52	3.30E-01
myofibril assembly (GO:0030239)	27	1	0.4	+	2.52	3.30E-01
membrane organization (GO:0061024)	163	6	2.39	+	2.51	3.32E-02
nuclear chromosome segregation (GO:0098813)	55	2	0.81	+	2.48	1.93E-01
microtubule-based transport (GO:0099111)	55	2	0.81	+	2.48	1.93E-01
regulation of cell development (GO:0060284)	55	2	0.81	+	2.48	1.93E-01
intracellular calcium ion homeostasis (GO:0006874)	55	2	0.81	+	2.48	1.93E-01
synaptic vesicle recycling (GO:0036465)	28	1	0.41	+	2.43	3.39E-01
Ras protein signal transduction (GO:0007265)	28	1	0.41	+	2.43	3.39E-01
innate immune response (GO:0045087)	28	1	0.41	+	2.43	3.39E-01
protein transmembrane transport (GO:0071806)	28	1	0.41	+	2.43	3.39E-01
protein localization to cell periphery (GO:1990778)	56	2	0.82	+	2.43	1.99E-01
hemopoiesis (GO:0030097)	28	1	0.41	+	2.43	3.39E-01
regulation of trans-synaptic signaling (GO:0099177)	84	3	1.23	+	2.43	1.26E-01
modulation of chemical synaptic transmission (GO:0050804)	84	3	1.23	+	2.43	1.26E-01
intracellular monoatomic cation homeostasis (GO:0030003)	113	4	1.66	+	2.41	8.49E-02
intracellular monoatomic ion homeostasis (GO:0006873)	113	4	1.66	+	2.41	8.49E-02
phosphatidylinositol biosynthetic process (GO:0006661)	57	2	0.84	+	2.39	2.04E-01
chromosome segregation (GO:0007059)	86	3	1.26	+	2.38	1.33E-01
cell adhesion (GO:0007155)	231	8	3.39	+	2.36	2.08E-02
system process (GO:0003008)	116	4	1.7	+	2.35	9.14E-02
axon development (GO:0061564)	146	5	2.14	+	2.33	6.41E-02
defense response (GO:0006952)	59	2	0.87	+	2.31	2.15E-01
cellular homeostasis (GO:0019725)	149	5	2.19	+	2.28	6.87E-02
calcium ion transmembrane transport (GO:0070588)	60	2	0.88	+	2.27	2.20E-01
integrin-mediated signaling pathway (GO:0007229)	30	1	0.44	+	2.27	3.59E-01
calcium-mediated signaling (GO:0019722)	30	1	0.44	+	2.27	3.59E-01
muscle structure development (GO:0061061)	60	2	0.88	+	2.27	2.20E-01
immune response (GO:0006955)	60	2	0.88	+	2.27	2.20E-01
neural crest cell migration (GO:0001755)	30	1	0.44	+	2.27	3.59E-01
cell junction assembly (GO:0034329)	60	2	0.88	+	2.27	2.20E-01
defense response to symbiont (GO:0140546)	30	1	0.44	+	2.27	3.59E-01
animal organ morphogenesis (GO:0009887)	91	3	1.34	+	2.24	1.50E-01
cellular anatomical entity morphogenesis (GO:0032989)	183	6	2.69	+	2.23	5.31E-02
establishment of protein localization to organelle (GO:0072594)	122	4	1.79	+	2.23	1.05E-01
response to nitrogen compound (GO:1901698)	123	4	1.81	+	2.21	1.07E-01
glycerophospholipid metabolic process (GO:0006650)	124	4	1.82	+	2.2	1.10E-01
neuron projection morphogenesis (GO:0048812)	155	5	2.28	+	2.2	7.83E-02
cell projection morphogenesis (GO:0048858)	156	5	2.29	+	2.18	8.00E-02
plasma membrane bounded cell projection morphogenesis (GO:0120039)	156	5	2.29	+	2.18	8.00E-02
endocytosis (GO:0006897)	125	4	1.84	+	2.18	1.12E-01
calcium ion homeostasis (GO:0055074)	63	2	0.93	+	2.16	2.36E-01
neural crest cell differentiation (GO:0014033)	32	1	0.47	+	2.13	3.78E-01
neural crest cell development (GO:0014032)	32	1	0.47	+	2.13	3.78E-01
regulation of canonical NF-kappaB signal transduction (GO:0043122)	32	1	0.47	+	2.13	3.78E-01
stem cell development (GO:0048864)	32	1	0.47	+	2.13	3.78E-01
stem cell differentiation (GO:0048863)	32	1	0.47	+	2.13	3.78E-01
mitotic spindle organization (GO:0007052)	32	1	0.47	+	2.13	3.78E-01
receptor-mediated endocytosis (GO:0006898)	32	1	0.47	+	2.13	3.78E-01
vacuolar transport (GO:0007034)	65	2	0.95	+	2.09	2.47E-01
regulation of cell migration (GO:0030334)	98	3	1.44	+	2.08	1.75E-01
regulation of developmental process (GO:0050793)	196	6	2.88	+	2.08	6.92E-02
"regulation of mRNA splicing, via spliceosome (GO:0048024)"	33	1	0.48	+	2.06	3.87E-01
monoatomic cation homeostasis (GO:0055080)	133	4	1.95	+	2.05	1.32E-01
organic anion transport (GO:0015711)	134	4	1.97	+	2.03	1.35E-01
mesenchyme development (GO:0060485)	34	1	0.5	+	2	3.96E-01
negative regulation of transport (GO:0051051)	34	1	0.5	+	2	3.96E-01
regulation of transport (GO:0051049)	170	5	2.5	+	2	1.06E-01
cell-matrix adhesion (GO:0007160)	34	1	0.5	+	2	3.96E-01
monoatomic ion homeostasis (GO:0050801)	136	4	2	+	2	1.40E-01
protein targeting to membrane (GO:0006612)	34	1	0.5	+	2	3.96E-01
regulation of cell motility (GO:2000145)	102	3	1.5	+	2	1.89E-01
muscle contraction (GO:0006936)	34	1	0.5	+	2	3.96E-01
regulation of locomotion (GO:0040012)	102	3	1.5	+	2	1.89E-01
mesenchymal cell differentiation (GO:0048762)	34	1	0.5	+	2	3.96E-01
monoatomic ion transmembrane transport (GO:0034220)	273	8	4.01	+	2	6.53E-02
protein transport (GO:0015031)	240	7	3.52	+	1.99	9.17E-02
vesicle organization (GO:0016050)	103	3	1.51	+	1.98	1.93E-01
anatomical structure morphogenesis (GO:0009653)	384	11	5.64	+	1.95	2.95E-02
striated muscle cell differentiation (GO:0051146)	35	1	0.51	+	1.95	4.05E-01
regulation of autophagy (GO:0010506)	35	1	0.51	+	1.95	4.05E-01
muscle system process (GO:0003012)	35	1	0.51	+	1.95	4.05E-01
defense response to other organism (GO:0098542)	35	1	0.51	+	1.95	4.05E-01
glycerolipid metabolic process (GO:0046486)	141	4	2.07	+	1.93	1.54E-01
microtubule-based movement (GO:0007018)	106	3	1.56	+	1.93	2.04E-01
protein targeting (GO:0006605)	71	2	1.04	+	1.92	2.80E-01
chemical homeostasis (GO:0048878)	178	5	2.61	+	1.91	1.92E-01
regulation of localization (GO:0032879)	214	6	3.14	+	1.91	1.37E-01
inorganic cation transmembrane transport (GO:0098662)	216	6	3.17	+	1.89	1.39E-01
cell junction organization (GO:0034330)	108	3	1.59	+	1.89	2.12E-01
phospholipid dephosphorylation (GO:0046839)	36	1	0.53	+	1.89	4.13E-01
establishment of vesicle localization (GO:0051650)	36	1	0.53	+	1.89	4.13E-01
monoatomic cation transmembrane transport (GO:0098655)	217	6	3.19	+	1.88	1.40E-01
peptide metabolic process (GO:0006518)	182	5	2.67	+	1.87	1.97E-01
glycerophospholipid biosynthetic process (GO:0046474)	73	2	1.07	+	1.87	2.91E-01
calcium ion transport (GO:0006816)	73	2	1.07	+	1.87	2.91E-01
vesicle localization (GO:0051648)	37	1	0.54	+	1.84	4.22E-01
response to external stimulus (GO:0009605)	148	4	2.17	+	1.84	1.73E-01
transmembrane transport (GO:0055085)	445	12	6.54	+	1.84	4.10E-02
cell morphogenesis (GO:0000902)	187	5	2.75	+	1.82	2.03E-01
protein polyubiquitination (GO:0000209)	76	2	1.12	+	1.79	3.07E-01
epithelium development (GO:0060429)	38	1	0.56	+	1.79	4.31E-01
mitotic sister chromatid segregation (GO:0000070)	38	1	0.56	+	1.79	4.31E-01
organic substance transport (GO:0071702)	497	13	7.3	+	1.78	5.28E-02
protein localization to membrane (GO:0072657)	115	3	1.69	+	1.78	2.39E-01
nervous system development (GO:0007399)	426	11	6.26	+	1.76	6.22E-02
phospholipid metabolic process (GO:0006644)	155	4	2.28	+	1.76	2.93E-01
import into nucleus (GO:0051170)	39	1	0.57	+	1.75	4.39E-01
ameboidal-type cell migration (GO:0001667)	39	1	0.57	+	1.75	4.39E-01
regulation of mRNA processing (GO:0050684)	39	1	0.57	+	1.75	4.39E-01
taxis (GO:0042330)	39	1	0.57	+	1.75	4.39E-01
protein import into nucleus (GO:0006606)	39	1	0.57	+	1.75	4.39E-01
chemotaxis (GO:0006935)	39	1	0.57	+	1.75	4.39E-01
ERAD pathway (GO:0036503)	39	1	0.57	+	1.75	4.39E-01
locomotion (GO:0040011)	39	1	0.57	+	1.75	4.39E-01
endomembrane system organization (GO:0010256)	118	3	1.73	+	1.73	2.51E-01
cell development (GO:0048468)	316	8	4.64	+	1.72	1.46E-01
neuron projection development (GO:0031175)	199	5	2.92	+	1.71	2.21E-01
import into cell (GO:0098657)	199	5	2.92	+	1.71	2.21E-01
response to oxygen-containing compound (GO:1901700)	120	3	1.76	+	1.7	2.59E-01
positive regulation of multicellular organismal process (GO:0051240)	80	2	1.17	+	1.7	3.29E-01
cell communication (GO:0007154)	1371	34	20.14	+	1.69	1.91E-03
localization within membrane (GO:0051668)	162	4	2.38	+	1.68	3.05E-01
monoatomic ion transport (GO:0006811)	325	8	4.77	+	1.68	1.52E-01
tRNA modification (GO:0006400)	41	1	0.6	+	1.66	4.55E-01
tube morphogenesis (GO:0035239)	41	1	0.6	+	1.66	4.55E-01
organelle localization (GO:0051640)	123	3	1.81	+	1.66	4.31E-01
embryonic morphogenesis (GO:0048598)	41	1	0.6	+	1.66	4.55E-01
ceramide metabolic process (GO:0006672)	41	1	0.6	+	1.66	4.55E-01
protein phosphorylation (GO:0006468)	206	5	3.03	+	1.65	2.33E-01
homeostatic process (GO:0042592)	206	5	3.03	+	1.65	2.33E-01
metal ion transport (GO:0030001)	248	6	3.64	+	1.65	1.83E-01
glycerolipid biosynthetic process (GO:0045017)	83	2	1.22	+	1.64	3.45E-01
inorganic ion transmembrane transport (GO:0098660)	249	6	3.66	+	1.64	1.85E-01
establishment of protein localization (GO:0045184)	291	7	4.27	+	1.64	2.07E-01
