PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12431)	intersection.fst.csv (60)	intersection.fst.csv (expected)	intersection.fst.csv (over/under)	intersection.fst.csv (fold Enrichment)	P-value
monosaccharide metabolic process (GO:0005996)	28	1	0.14	+	7.4	1.27E-01
muscle structure development (GO:0061061)	58	2	0.28	+	7.14	3.19E-02
apoptotic signaling pathway (GO:0097190)	30	1	0.14	+	6.91	1.35E-01
regulation of defense response (GO:0031347)	32	1	0.15	+	6.47	1.44E-01
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	66	2	0.32	+	6.28	4.03E-02
angiogenesis (GO:0001525)	33	1	0.16	+	6.28	1.48E-01
action potential (GO:0001508)	33	1	0.16	+	6.28	1.48E-01
positive regulation of programmed cell death (GO:0043068)	34	1	0.16	+	6.09	1.52E-01
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	35	1	0.17	+	5.92	1.56E-01
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	70	2	0.34	+	5.92	4.49E-02
protein N-linked glycosylation (GO:0006487)	36	1	0.17	+	5.76	1.60E-01
epithelium development (GO:0060429)	37	1	0.18	+	5.6	1.64E-01
positive regulation of transport (GO:0051050)	37	1	0.18	+	5.6	1.64E-01
taxis (GO:0042330)	37	1	0.18	+	5.6	1.64E-01
blood vessel morphogenesis (GO:0048514)	37	1	0.18	+	5.6	1.64E-01
chemotaxis (GO:0006935)	37	1	0.18	+	5.6	1.64E-01
locomotion (GO:0040011)	37	1	0.18	+	5.6	1.64E-01
blood vessel development (GO:0001568)	38	1	0.18	+	5.45	1.68E-01
mitotic sister chromatid segregation (GO:0000070)	38	1	0.18	+	5.45	1.68E-01
vasculature development (GO:0001944)	39	1	0.19	+	5.31	1.72E-01
tRNA modification (GO:0006400)	39	1	0.19	+	5.31	1.72E-01
cytosolic transport (GO:0016482)	39	1	0.19	+	5.31	1.72E-01
cell-cell adhesion (GO:0098609)	158	4	0.76	+	5.25	7.05E-03
tube morphogenesis (GO:0035239)	40	1	0.19	+	5.18	1.76E-01
sister chromatid segregation (GO:0000819)	42	1	0.2	+	4.93	1.84E-01
tube development (GO:0035295)	42	1	0.2	+	4.93	1.84E-01
mitotic nuclear division (GO:0140014)	42	1	0.2	+	4.93	1.84E-01
cell-cell junction organization (GO:0045216)	43	1	0.21	+	4.82	1.88E-01
mitochondrial transport (GO:0006839)	44	1	0.21	+	4.71	1.92E-01
regulation of multicellular organismal process (GO:0051239)	180	4	0.87	+	4.6	1.10E-02
cell adhesion (GO:0007155)	228	5	1.1	+	4.54	4.78E-03
regulation of secretion by cell (GO:1903530)	46	1	0.22	+	4.5	2.00E-01
tissue development (GO:0009888)	140	3	0.68	+	4.44	3.00E-02
regulation of secretion (GO:0051046)	47	1	0.23	+	4.41	2.04E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	95	2	0.46	+	4.36	7.69E-02
cell-cell signaling (GO:0007267)	241	5	1.16	+	4.3	6.03E-03
regulation of response to external stimulus (GO:0032101)	49	1	0.24	+	4.23	2.11E-01
synaptic signaling (GO:0099536)	151	3	0.73	+	4.12	3.64E-02
positive regulation of GTPase activity (GO:0043547)	51	1	0.25	+	4.06	2.19E-01
neuron development (GO:0048666)	208	4	1	+	3.98	1.79E-02
synaptic vesicle cycle (GO:0099504)	52	1	0.25	+	3.98	2.23E-01
vesicle-mediated transport in synapse (GO:0099003)	52	1	0.25	+	3.98	2.23E-01
axon guidance (GO:0007411)	106	2	0.51	+	3.91	9.27E-02
neuron projection guidance (GO:0097485)	106	2	0.51	+	3.91	9.27E-02
nuclear chromosome segregation (GO:0098813)	54	1	0.26	+	3.84	2.30E-01
phosphatidylinositol biosynthetic process (GO:0006661)	54	1	0.26	+	3.84	2.30E-01
tRNA processing (GO:0008033)	55	1	0.27	+	3.77	2.34E-01
canonical Wnt signaling pathway (GO:0060070)	55	1	0.27	+	3.77	2.34E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	56	1	0.27	+	3.7	2.38E-01
small molecule biosynthetic process (GO:0044283)	112	2	0.54	+	3.7	1.02E-01
system process (GO:0003008)	112	2	0.54	+	3.7	1.02E-01
apoptotic process (GO:0006915)	56	1	0.27	+	3.7	2.38E-01
Wnt signaling pathway (GO:0016055)	57	1	0.28	+	3.63	2.41E-01
nervous system development (GO:0007399)	404	7	1.95	+	3.59	3.18E-03
defense response (GO:0006952)	58	1	0.28	+	3.57	2.45E-01
regulation of RNA splicing (GO:0043484)	59	1	0.28	+	3.51	2.49E-01
cell-cell signaling by wnt (GO:0198738)	59	1	0.28	+	3.51	2.49E-01
regulation of vesicle-mediated transport (GO:0060627)	60	1	0.29	+	3.45	2.52E-01
programmed cell death (GO:0012501)	61	1	0.29	+	3.4	2.56E-01
cell death (GO:0008219)	61	1	0.29	+	3.4	2.56E-01
Golgi vesicle transport (GO:0048193)	122	2	0.59	+	3.4	1.17E-01
cell development (GO:0048468)	305	5	1.47	+	3.4	1.56E-02
macroautophagy (GO:0016236)	62	1	0.3	+	3.34	2.60E-01
axonogenesis (GO:0007409)	126	2	0.61	+	3.29	1.24E-01
vacuolar transport (GO:0007034)	64	1	0.31	+	3.24	2.67E-01
regulation of immune response (GO:0050776)	64	1	0.31	+	3.24	2.67E-01
cell morphogenesis involved in neuron differentiation (GO:0048667)	131	2	0.63	+	3.16	1.32E-01
system development (GO:0048731)	542	8	2.62	+	3.06	4.30E-03
neuron differentiation (GO:0030182)	272	4	1.31	+	3.05	4.21E-02
protein targeting (GO:0006605)	69	1	0.33	+	3	2.84E-01
glycerophospholipid biosynthetic process (GO:0046474)	70	1	0.34	+	2.96	2.88E-01
axon development (GO:0061564)	141	2	0.68	+	2.94	1.48E-01
generation of neurons (GO:0048699)	283	4	1.37	+	2.93	4.75E-02
positive regulation of hydrolase activity (GO:0051345)	71	1	0.34	+	2.92	2.91E-01
regulation of response to stress (GO:0080134)	71	1	0.34	+	2.92	2.91E-01
autophagy (GO:0006914)	71	1	0.34	+	2.92	2.91E-01
process utilizing autophagic mechanism (GO:0061919)	71	1	0.34	+	2.92	2.91E-01
regulation of GTPase activity (GO:0043087)	72	1	0.35	+	2.88	2.95E-01
regulation of anatomical structure size (GO:0090066)	73	1	0.35	+	2.84	2.98E-01
calcium ion transport (GO:0006816)	73	1	0.35	+	2.84	2.98E-01
nuclear division (GO:0000280)	74	1	0.36	+	2.8	3.02E-01
positive regulation of multicellular organismal process (GO:0051240)	75	1	0.36	+	2.76	3.05E-01
neuron projection morphogenesis (GO:0048812)	151	2	0.73	+	2.74	1.65E-01
cell projection morphogenesis (GO:0048858)	152	2	0.73	+	2.73	1.67E-01
plasma membrane bounded cell projection morphogenesis (GO:0120039)	152	2	0.73	+	2.73	1.67E-01
neurogenesis (GO:0022008)	306	4	1.48	+	2.71	6.00E-02
RNA modification (GO:0009451)	77	1	0.37	+	2.69	3.12E-01
glycerolipid biosynthetic process (GO:0045017)	80	1	0.39	+	2.59	3.22E-01
membrane organization (GO:0061024)	160	2	0.77	+	2.59	1.81E-01
phospholipid biosynthetic process (GO:0008654)	82	1	0.4	+	2.53	3.28E-01
G protein-coupled receptor signaling pathway (GO:0007186)	248	3	1.2	+	2.51	1.18E-01
regulation of trans-synaptic signaling (GO:0099177)	83	1	0.4	+	2.5	3.32E-01
modulation of chemical synaptic transmission (GO:0050804)	83	1	0.4	+	2.5	3.32E-01
multicellular organism development (GO:0007275)	665	8	3.21	+	2.49	1.41E-02
chromosome segregation (GO:0007059)	84	1	0.41	+	2.47	3.35E-01
multicellular organismal process (GO:0032501)	842	10	4.06	+	2.46	6.59E-03
organelle fission (GO:0048285)	85	1	0.41	+	2.44	3.38E-01
carbohydrate metabolic process (GO:0005975)	86	1	0.42	+	2.41	3.41E-01
exocytosis (GO:0006887)	86	1	0.42	+	2.41	3.41E-01
anatomical structure formation involved in morphogenesis (GO:0048646)	87	1	0.42	+	2.38	3.45E-01
cellular anatomical entity morphogenesis (GO:0032989)	178	2	0.86	+	2.33	2.12E-01
regulation of multicellular organismal development (GO:2000026)	89	1	0.43	+	2.33	3.51E-01
anatomical structure development (GO:0048856)	892	10	4.31	+	2.32	9.74E-03
circulatory system development (GO:0072359)	90	1	0.43	+	2.3	3.54E-01
regulation of cell differentiation (GO:0045595)	90	1	0.43	+	2.3	3.54E-01
tRNA metabolic process (GO:0006399)	91	1	0.44	+	2.28	3.57E-01
cell morphogenesis (GO:0000902)	183	2	0.88	+	2.26	2.21E-01
protein glycosylation (GO:0006486)	92	1	0.44	+	2.25	3.60E-01
phosphatidylinositol metabolic process (GO:0046488)	92	1	0.44	+	2.25	3.60E-01
macromolecule glycosylation (GO:0043413)	92	1	0.44	+	2.25	3.60E-01
neuron projection development (GO:0031175)	192	2	0.93	+	2.16	2.37E-01
regulation of membrane potential (GO:0042391)	97	1	0.47	+	2.14	3.76E-01
double-strand break repair (GO:0006302)	97	1	0.47	+	2.14	3.76E-01
regulation of programmed cell death (GO:0043067)	99	1	0.48	+	2.09	3.82E-01
developmental process (GO:0032502)	1001	10	4.83	+	2.07	2.70E-02
non-membrane-bounded organelle assembly (GO:0140694)	101	1	0.49	+	2.05	3.88E-01
protein phosphorylation (GO:0006468)	203	2	0.98	+	2.04	2.57E-01
extracellular matrix organization (GO:0030198)	104	1	0.5	+	1.99	3.97E-01
glycosylation (GO:0070085)	104	1	0.5	+	1.99	3.97E-01
extracellular structure organization (GO:0043062)	104	1	0.5	+	1.99	3.97E-01
external encapsulating structure organization (GO:0045229)	104	1	0.5	+	1.99	3.97E-01
"mRNA splicing, via spliceosome (GO:0000398)"	104	1	0.5	+	1.99	3.97E-01
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)"	104	1	0.5	+	1.99	3.97E-01
"RNA splicing, via transesterification reactions (GO:0000375)"	104	1	0.5	+	1.99	3.97E-01
secretion by cell (GO:0032940)	105	1	0.51	+	1.97	4.00E-01
regulation of immune system process (GO:0002682)	105	1	0.51	+	1.97	4.00E-01
microtubule-based movement (GO:0007018)	106	1	0.51	+	1.95	4.03E-01
secretion (GO:0046903)	107	1	0.52	+	1.94	4.05E-01
phosphorylation (GO:0016310)	216	2	1.04	+	1.92	2.80E-01
regulation of biological quality (GO:0065008)	440	4	2.12	+	1.88	1.62E-01
mitochondrion organization (GO:0007005)	114	1	0.55	+	1.82	4.25E-01
chromosome organization (GO:0051276)	116	1	0.56	+	1.79	4.31E-01
RNA splicing (GO:0008380)	117	1	0.56	+	1.77	4.34E-01
glycoprotein biosynthetic process (GO:0009101)	119	1	0.57	+	1.74	4.39E-01
export from cell (GO:0140352)	119	1	0.57	+	1.74	4.39E-01
signaling (GO:0023052)	1311	11	6.33	+	1.74	5.71E-02
glycerophospholipid metabolic process (GO:0006650)	120	1	0.58	+	1.73	4.42E-01
cell cycle process (GO:0022402)	240	2	1.16	+	1.73	3.23E-01
cell differentiation (GO:0030154)	607	5	2.93	+	1.71	2.17E-01
cellular developmental process (GO:0048869)	607	5	2.93	+	1.71	2.17E-01
cell communication (GO:0007154)	1339	11	6.46	+	1.7	8.97E-02
endocytosis (GO:0006897)	122	1	0.59	+	1.7	4.47E-01
regulation of hydrolase activity (GO:0051336)	123	1	0.59	+	1.68	4.50E-01
anatomical structure morphogenesis (GO:0009653)	370	3	1.79	+	1.68	2.65E-01
mRNA processing (GO:0006397)	126	1	0.61	+	1.64	4.58E-01
cell cycle (GO:0007049)	264	2	1.27	+	1.57	3.65E-01
microtubule-based process (GO:0007017)	264	2	1.27	+	1.57	3.65E-01
mitotic cell cycle process (GO:1903047)	137	1	0.66	+	1.51	4.87E-01
glycerolipid metabolic process (GO:0046486)	137	1	0.66	+	1.51	4.87E-01
glycoprotein metabolic process (GO:0009100)	138	1	0.67	+	1.5	4.89E-01
chemical synaptic transmission (GO:0007268)	138	1	0.67	+	1.5	4.89E-01
anterograde trans-synaptic signaling (GO:0098916)	138	1	0.67	+	1.5	4.89E-01
cellular component assembly (GO:0022607)	556	4	2.68	+	1.49	3.44E-01
phosphate-containing compound metabolic process (GO:0006796)	560	4	2.7	+	1.48	3.47E-01
phosphorus metabolic process (GO:0006793)	563	4	2.72	+	1.47	3.50E-01
trans-synaptic signaling (GO:0099537)	141	1	0.68	+	1.47	4.96E-01
animal organ development (GO:0048513)	287	2	1.39	+	1.44	4.05E-01
response to external stimulus (GO:0009605)	144	1	0.7	+	1.44	5.04E-01
organophosphate metabolic process (GO:0019637)	288	2	1.39	+	1.44	6.51E-01
phospholipid metabolic process (GO:0006644)	151	1	0.73	+	1.37	5.21E-01
cellular localization (GO:0051641)	761	5	3.67	+	1.36	4.16E-01
vesicle-mediated transport (GO:0016192)	466	3	2.25	+	1.33	4.92E-01
organophosphate biosynthetic process (GO:0090407)	156	1	0.75	+	1.33	5.32E-01
localization within membrane (GO:0051668)	158	1	0.76	+	1.31	5.37E-01
negative regulation of DNA-templated transcription (GO:0045892)	160	1	0.77	+	1.29	5.41E-01
negative regulation of RNA biosynthetic process (GO:1902679)	160	1	0.77	+	1.29	5.41E-01
carbohydrate derivative metabolic process (GO:1901135)	322	2	1.55	+	1.29	6.69E-01
plasma membrane bounded cell projection organization (GO:0120036)	328	2	1.58	+	1.26	6.73E-01
positive regulation of catalytic activity (GO:0043085)	165	1	0.8	+	1.26	5.52E-01
RNA processing (GO:0006396)	331	2	1.6	+	1.25	6.75E-01
cellular component biogenesis (GO:0044085)	663	4	3.2	+	1.25	5.62E-01
cellular component organization (GO:0016043)	1668	10	8.05	+	1.24	4.47E-01
localization (GO:0051179)	1502	9	7.25	+	1.24	4.31E-01
regulation of transport (GO:0051049)	167	1	0.81	+	1.24	5.57E-01
cell projection organization (GO:0030030)	334	2	1.61	+	1.24	6.76E-01
signal transduction (GO:0007165)	1184	7	5.71	+	1.22	5.10E-01
establishment of localization (GO:0051234)	1354	8	6.54	+	1.22	5.31E-01
mitotic cell cycle (GO:0000278)	171	1	0.83	+	1.21	5.65E-01
lipid biosynthetic process (GO:0008610)	175	1	0.84	+	1.18	5.74E-01
microtubule cytoskeleton organization (GO:0000226)	177	1	0.85	+	1.17	5.78E-01
negative regulation of RNA metabolic process (GO:0051253)	177	1	0.85	+	1.17	5.78E-01
cellular component organization or biogenesis (GO:0071840)	1773	10	8.56	+	1.17	5.78E-01
cellular process (GO:0009987)	5901	33	28.48	+	1.16	2.47E-01
DNA repair (GO:0006281)	181	1	0.87	+	1.14	5.86E-01
response to stimulus (GO:0050896)	1641	9	7.92	+	1.14	7.01E-01
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	183	1	0.88	+	1.13	5.90E-01
mRNA metabolic process (GO:0016071)	183	1	0.88	+	1.13	5.90E-01
transport (GO:0006810)	1285	7	6.2	+	1.13	6.71E-01
ncRNA processing (GO:0034470)	184	1	0.89	+	1.13	5.92E-01
negative regulation of response to stimulus (GO:0048585)	186	1	0.9	+	1.11	5.96E-01
regulation of developmental process (GO:0050793)	188	1	0.91	+	1.1	6.00E-01
cellular response to stimulus (GO:0051716)	1506	8	7.27	+	1.1	6.94E-01
regulation of biological process (GO:0050789)	3637	19	17.55	+	1.08	6.71E-01
biological regulation (GO:0065007)	3850	20	18.58	+	1.08	6.77E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	194	1	0.94	+	1.07	6.12E-01
positive regulation of transcription by RNA polymerase II (GO:0045944)	195	1	0.94	+	1.06	6.14E-01
import into cell (GO:0098657)	195	1	0.94	+	1.06	6.14E-01
positive regulation of molecular function (GO:0044093)	196	1	0.95	+	1.06	6.16E-01
biological_process (GO:0008150)	8065	41	38.93	+	1.05	6.85E-01
homeostatic process (GO:0042592)	205	1	0.99	+	1.01	1.00E+00
organic substance biosynthetic process (GO:1901576)	1255	6	6.06	-	0.99	1.00E+00
small molecule metabolic process (GO:0044281)	419	2	2.02	-	0.99	1.00E+00
biosynthetic process (GO:0009058)	1258	6	6.07	-	0.99	1.00E+00
regulation of localization (GO:0032879)	211	1	1.02	-	0.98	1.00E+00
carbohydrate derivative biosynthetic process (GO:1901137)	213	1	1.03	-	0.97	1.00E+00
macromolecule modification (GO:0043412)	867	4	4.18	-	0.96	1.00E+00
cellular metabolic process (GO:0044237)	2220	10	10.72	-	0.93	1.00E+00
cellular macromolecule localization (GO:0070727)	445	2	2.15	-	0.93	1.00E+00
protein localization (GO:0008104)	445	2	2.15	-	0.93	1.00E+00
enzyme-linked receptor protein signaling pathway (GO:0007167)	223	1	1.08	-	0.93	1.00E+00
DNA damage response (GO:0006974)	223	1	1.08	-	0.93	1.00E+00
regulation of cellular process (GO:0050794)	3432	15	16.57	-	0.91	7.72E-01
Unclassified (UNCLASSIFIED)	4366	19	21.07	-	0.9	6.85E-01
ncRNA metabolic process (GO:0034660)	232	1	1.12	-	0.89	1.00E+00
positive regulation of DNA-templated transcription (GO:0045893)	235	1	1.13	-	0.88	1.00E+00
positive regulation of RNA biosynthetic process (GO:1902680)	235	1	1.13	-	0.88	1.00E+00
positive regulation of biological process (GO:0048518)	941	4	4.54	-	0.88	1.00E+00
cell surface receptor signaling pathway (GO:0007166)	472	2	2.28	-	0.88	1.00E+00
response to stress (GO:0006950)	477	2	2.3	-	0.87	1.00E+00
metal ion transport (GO:0030001)	240	1	1.16	-	0.86	1.00E+00
cellular biosynthetic process (GO:0044249)	1224	5	5.91	-	0.85	8.30E-01
nucleic acid metabolic process (GO:0090304)	754	3	3.64	-	0.82	1.00E+00
RNA metabolic process (GO:0016070)	505	2	2.44	-	0.82	1.00E+00
monoatomic cation transport (GO:0006812)	257	1	1.24	-	0.81	1.00E+00
DNA metabolic process (GO:0006259)	259	1	1.25	-	0.8	1.00E+00
protein modification process (GO:0036211)	780	3	3.76	-	0.8	1.00E+00
establishment of localization in cell (GO:0051649)	527	2	2.54	-	0.79	1.00E+00
positive regulation of RNA metabolic process (GO:0051254)	271	1	1.31	-	0.76	1.00E+00
organelle assembly (GO:0070925)	271	1	1.31	-	0.76	1.00E+00
regulation of signaling (GO:0023051)	545	2	2.63	-	0.76	1.00E+00
regulation of catalytic activity (GO:0050790)	278	1	1.34	-	0.75	1.00E+00
establishment of protein localization (GO:0045184)	279	1	1.35	-	0.74	1.00E+00
negative regulation of nitrogen compound metabolic process (GO:0051172)	282	1	1.36	-	0.73	1.00E+00
macromolecule localization (GO:0033036)	564	2	2.72	-	0.73	1.00E+00
post-translational protein modification (GO:0043687)	282	1	1.36	-	0.73	1.00E+00
positive regulation of cellular process (GO:0048522)	849	3	4.1	-	0.73	7.98E-01
metabolic process (GO:0008152)	2876	10	13.88	-	0.72	2.83E-01
regulation of gene expression (GO:0010468)	1449	5	6.99	-	0.71	5.46E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	291	1	1.4	-	0.71	1.00E+00
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	292	1	1.41	-	0.71	1.00E+00
negative regulation of biosynthetic process (GO:0009890)	293	1	1.41	-	0.71	1.00E+00
negative regulation of cellular biosynthetic process (GO:0031327)	293	1	1.41	-	0.71	1.00E+00
regulation of macromolecule biosynthetic process (GO:0010556)	1469	5	7.09	-	0.71	5.47E-01
regulation of cellular biosynthetic process (GO:0031326)	1477	5	7.13	-	0.7	5.47E-01
regulation of biosynthetic process (GO:0009889)	1482	5	7.15	-	0.7	5.47E-01
nucleobase-containing compound metabolic process (GO:0006139)	906	3	4.37	-	0.69	8.01E-01
positive regulation of macromolecule biosynthetic process (GO:0010557)	306	1	1.48	-	0.68	1.00E+00
organic substance metabolic process (GO:0071704)	2755	9	13.3	-	0.68	2.13E-01
cellular lipid metabolic process (GO:0044255)	307	1	1.48	-	0.67	1.00E+00
regulation of RNA metabolic process (GO:0051252)	1242	4	5.99	-	0.67	5.18E-01
positive regulation of cellular biosynthetic process (GO:0031328)	311	1	1.5	-	0.67	1.00E+00
positive regulation of biosynthetic process (GO:0009891)	312	1	1.51	-	0.66	1.00E+00
cellular catabolic process (GO:0044248)	314	1	1.52	-	0.66	1.00E+00
macromolecule biosynthetic process (GO:0009059)	945	3	4.56	-	0.66	6.25E-01
monoatomic ion transport (GO:0006811)	315	1	1.52	-	0.66	1.00E+00
heterocycle metabolic process (GO:0046483)	953	3	4.6	-	0.65	6.26E-01
cellular aromatic compound metabolic process (GO:0006725)	961	3	4.64	-	0.65	6.26E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1283	4	6.19	-	0.65	5.21E-01
primary metabolic process (GO:0044238)	2622	8	12.66	-	0.63	1.55E-01
organic cyclic compound metabolic process (GO:1901360)	1001	3	4.83	-	0.62	6.30E-01
organelle organization (GO:0006996)	1018	3	4.91	-	0.61	4.83E-01
response to chemical (GO:0042221)	340	1	1.64	-	0.61	1.00E+00
regulation of macromolecule metabolic process (GO:0060255)	1708	5	8.24	-	0.61	2.63E-01
regulation of cellular metabolic process (GO:0031323)	1716	5	8.28	-	0.6	2.63E-01
lipid metabolic process (GO:0006629)	348	1	1.68	-	0.6	1.00E+00
macromolecule metabolic process (GO:0043170)	2097	6	10.12	-	0.59	2.24E-01
regulation of molecular function (GO:0065009)	358	1	1.73	-	0.58	1.00E+00
cellular nitrogen compound metabolic process (GO:0034641)	1081	3	5.22	-	0.57	4.87E-01
cellular response to stress (GO:0033554)	363	1	1.75	-	0.57	1.00E+00
regulation of metabolic process (GO:0019222)	1827	5	8.82	-	0.57	2.01E-01
negative regulation of cellular metabolic process (GO:0031324)	366	1	1.77	-	0.57	1.00E+00
gene expression (GO:0010467)	747	2	3.61	-	0.55	5.84E-01
regulation of DNA-templated transcription (GO:0006355)	1126	3	5.43	-	0.55	3.68E-01
regulation of RNA biosynthetic process (GO:2001141)	1126	3	5.43	-	0.55	3.68E-01
negative regulation of macromolecule metabolic process (GO:0010605)	383	1	1.85	-	0.54	1.00E+00
negative regulation of biological process (GO:0048519)	772	2	3.73	-	0.54	5.87E-01
regulation of nitrogen compound metabolic process (GO:0051171)	1569	4	7.57	-	0.53	2.39E-01
negative regulation of metabolic process (GO:0009892)	395	1	1.91	-	0.52	1.00E+00
regulation of primary metabolic process (GO:0080090)	1590	4	7.67	-	0.52	1.78E-01
nitrogen compound metabolic process (GO:0006807)	2404	6	11.6	-	0.52	7.13E-02
transmembrane transport (GO:0055085)	434	1	2.09	-	0.48	7.25E-01
intracellular transport (GO:0046907)	436	1	2.1	-	0.48	7.25E-01
cytoskeleton organization (GO:0007010)	436	1	2.1	-	0.48	7.25E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	438	1	2.11	-	0.47	7.25E-01
protein metabolic process (GO:0019538)	1340	3	6.47	-	0.46	2.07E-01
positive regulation of macromolecule metabolic process (GO:0010604)	457	1	2.21	-	0.45	7.27E-01
regulation of transcription by RNA polymerase II (GO:0006357)	956	2	4.61	-	0.43	3.25E-01
